"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry","7","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,NA,NA,848,661,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry1","8","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,NA,NA,1242,496,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry2","9","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,NA,NA,731,321,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry3","10","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,NA,NA,889,378,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry4","11","psj:PSJM300_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09870",NA,NA,NA,848,642,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry11","18","psj:PSJM300_09855","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09855",NA,"rn:R01505",NA,962,259,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry13","20","psj:PSJM300_09875","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09875",NA,"rn:R01717",NA,672,180,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry14","21","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,NA,NA,1026,684,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry15","22","psj:PSJM300_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09870",NA,NA,NA,889,359,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry17","24","psj:PSJM300_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09870",NA,NA,NA,1242,477,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry18","25","psj:PSJM300_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09870",NA,NA,NA,1026,665,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry19","26","psj:PSJM300_09870","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09870",NA,NA,NA,731,302,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry36","43","psj:PSJM300_09865","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865",NA,"rn:R03037",NA,813,219,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
"entry50","64","psj:PSJM300_09865 / psj:PSJM300_09870 / psj:PSJM300_12375","gene","http://www.kegg.jp/dbget-bin/www_bget?psj:PSJM300_09865+psj:PSJM300_09870+psj:PSJM300_12375",NA,"rn:R07644",NA,1000,431,"rectangle",46,17,"#000000","#BFFFBF",1,"01053"
