"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry17","41","micb:MicB006_4939","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4939",NA,"rn:R11435",NA,323,143,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry24","52","micb:MicB006_2815","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_2815",NA,"rn:R10963",NA,539,1028,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry32","63","micb:MicB006_5178","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_5178",NA,"rn:R11429",NA,254,1142,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry40","75","micb:MicB006_4927 / micb:MicB006_5179","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4927+micb:MicB006_5179",NA,"rn:R11433",NA,706,1142,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry67","112","micb:MicB006_4938","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4938",NA,"rn:R11436",NA,458,227,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry79","128","micb:MicB006_4942","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4942",NA,NA,NA,997,140,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry80","129","micb:MicB006_4941","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4941",NA,NA,NA,997,159,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry81","130","micb:MicB006_4940","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4940",NA,NA,NA,1045,121,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry94","146","micb:MicB006_4937","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4937",NA,"rn:R11393",NA,539,1416,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry113","170","micb:MicB006_4937","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4937",NA,NA,NA,1311,863,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry124","181","micb:MicB006_0273","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_0273",NA,NA,NA,1394,531,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry132","189","micb:MicB006_0273","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_0273",NA,NA,NA,1318,1012,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry138","196","micb:MicB006_0273","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_0273",NA,NA,NA,1350,1372,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry146","207","micb:MicB006_4937","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4937",NA,"rn:R11368",NA,539,601,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
"entry148","210","micb:MicB006_4937","gene","http://www.kegg.jp/dbget-bin/www_bget?micb:MicB006_4937",NA,"rn:R10731",NA,652,601,"rectangle",46,17,"#000000","#BFFFBF",1,"01059"
