"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4395","6921","pfv:Psefu_3619","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3619",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4396","6922","pfv:Psefu_3619","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3619",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4397","6925","pfv:Psefu_3620","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3620",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4398","6926","pfv:Psefu_3620","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3620",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4399","21","pfv:Psefu_0448 / pfv:Psefu_2727","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0448+pfv:Psefu_2727",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4400","22","pfv:Psefu_2730","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2730",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4401","23","pfv:Psefu_0449 / pfv:Psefu_0531 / pfv:Psefu_1209 / pfv:Psefu_2729 / pfv:Psefu_3541","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0449+pfv:Psefu_0531+pfv:Psefu_1209+pfv:Psefu_2729+pfv:Psefu_3541",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4402","40","pfv:Psefu_2494 / pfv:Psefu_2495 / pfv:Psefu_2496 / pfv:Psefu_2497","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2494+pfv:Psefu_2495+pfv:Psefu_2496+pfv:Psefu_2497",NA,NA,NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4403","49","pfv:Psefu_3203","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3203",NA,"rn:R01394",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4404","50","pfv:Psefu_1300 / pfv:Psefu_2918","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_1300+pfv:Psefu_2918",NA,"rn:R05305",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4405","54","pfv:Psefu_2263 / pfv:Psefu_2369 / pfv:Psefu_2679 / pfv:Psefu_2918","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2263+pfv:Psefu_2369+pfv:Psefu_2679+pfv:Psefu_2918",NA,"rn:R06942",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4406","55","pfv:Psefu_2918","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2918",NA,"rn:R06941",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4407","119","pfv:Psefu_1730","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_1730",NA,"rn:R00173",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4408","134","pfv:Psefu_1683 / pfv:Psefu_3881","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_1683+pfv:Psefu_3881",NA,"rn:R00883 rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4409","147","pfv:Psefu_2604","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2604",NA,"rn:R09959",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4410","161","pfv:Psefu_2781 / pfv:Psefu_2782","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2781+pfv:Psefu_2782",NA,"rn:R01631",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4411","163","pfv:Psefu_2917","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2917",NA,"rn:R05586",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4413","190","pfv:Psefu_4349","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_4349",NA,"rn:R01419 rn:R01420",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4415","195","pfv:Psefu_0440 / pfv:Psefu_0464 / pfv:Psefu_0465 / pfv:Psefu_2728","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0440+pfv:Psefu_0464+pfv:Psefu_0465+pfv:Psefu_2728",NA,"rn:R12049",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01100"
"entry4417","212","pfv:Psefu_2397","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2397",NA,"rn:R02065",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4418","380","pfv:Psefu_4060","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_4060",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4419","381","pfv:Psefu_4059","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_4059",NA,"rn:R06513",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4420","382","pfv:Psefu_4061","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_4061",NA,"rn:R06514",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4421","383","pfv:Psefu_0673 / pfv:Psefu_4062","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0673+pfv:Psefu_4062",NA,"rn:R02777",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4423","568","pfv:Psefu_3063","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3063",NA,"rn:R01072",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01100"
"entry4424","570","pfv:Psefu_0084 / pfv:Psefu_0688","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0084+pfv:Psefu_0688",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4425","601","pfv:Psefu_2491","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2491",NA,"rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4427","609","pfv:Psefu_3956","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3956",NA,"rn:R12241",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4428","611","pfv:Psefu_2731","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2731",NA,"rn:R12240",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4429","620","pfv:Psefu_1593","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_1593",NA,NA,NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4431","624","pfv:Psefu_0349","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0349",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4432","629","pfv:Psefu_3334","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_3334",NA,"rn:R08572",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4433","635","pfv:Psefu_2155 / pfv:Psefu_3733 / pfv:Psefu_4229","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2155+pfv:Psefu_3733+pfv:Psefu_4229",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4434","637","pfv:Psefu_0501 / pfv:Psefu_1020","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0501+pfv:Psefu_1020",NA,"rn:R04125",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4435","645","pfv:Psefu_0337","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0337",NA,"rn:R07168",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4437","650","pfv:Psefu_2656","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2656",NA,"rn:R00237",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4438","657","pfv:Psefu_2046","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_2046",NA,"rn:R06787",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4439","671","pfv:Psefu_0394 / pfv:Psefu_1411 / pfv:Psefu_2231 / pfv:Psefu_2683 / pfv:Psefu_2783 / pfv:Psefu_2985 / pfv:Psefu_3153 / pfv:Psefu_3554","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0394+pfv:Psefu_1411+pfv:Psefu_2231+pfv:Psefu_2683+pfv:Psefu_2783+pfv:Psefu_2985+pfv:Psefu_3153+pfv:Psefu_3554",NA,"rn:R03522",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry4440","672","pfv:Psefu_0168 / pfv:Psefu_0795 / pfv:Psefu_4388","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_0168+pfv:Psefu_0795+pfv:Psefu_4388",NA,"rn:R03916",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry4441","673","pfv:Psefu_1828 / pfv:Psefu_3318","gene","http://www.kegg.jp/dbget-bin/www_bget?pfv:Psefu_1828+pfv:Psefu_3318",NA,"rn:R04951",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
