"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4570","6960","sja:SJ2017_1290","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_1290",NA,NA,NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry4571","6921","sja:SJ2017_0997","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0997",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4572","6922","sja:SJ2017_0997","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0997",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4573","6925","sja:SJ2017_0998","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0998",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4574","6926","sja:SJ2017_0998","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0998",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4575","21","sja:SJ2017_0318 / sja:SJ2017_1754","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0318+sja:SJ2017_1754",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4576","22","sja:SJ2017_1751","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_1751",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4577","23","sja:SJ2017_0319 / sja:SJ2017_1487 / sja:SJ2017_1752","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0319+sja:SJ2017_1487+sja:SJ2017_1752",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4578","40","sja:SJ2017_2433 / sja:SJ2017_2434 / sja:SJ2017_2435 / sja:SJ2017_2436","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_2433+sja:SJ2017_2434+sja:SJ2017_2435+sja:SJ2017_2436",NA,NA,NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4579","50","sja:SJ2017_0013 / sja:SJ2017_2774","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0013+sja:SJ2017_2774",NA,"rn:R05305",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4580","54","sja:SJ2017_0013 / sja:SJ2017_2774","gene","http://www.kegg.jp/dbget-bin/www_bget?sja:SJ2017_0013+sja:SJ2017_2774",NA,"rn:R06942",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
