"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4459","6921","gag:Glaag_2777","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2777",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4460","6922","gag:Glaag_2777","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2777",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4461","6925","gag:Glaag_2776","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2776",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4462","6926","gag:Glaag_2776","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2776",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4463","21","gag:Glaag_2147","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2147",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4464","22","gag:Glaag_2144","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2144",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4465","23","gag:Glaag_0243 / gag:Glaag_0775 / gag:Glaag_1263 / gag:Glaag_2145 / gag:Glaag_3457 / gag:Glaag_3634 / gag:Glaag_3656","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_0243+gag:Glaag_0775+gag:Glaag_1263+gag:Glaag_2145+gag:Glaag_3457+gag:Glaag_3634+gag:Glaag_3656",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4466","40","gag:Glaag_1778 / gag:Glaag_1779 / gag:Glaag_1780 / gag:Glaag_1781","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_1778+gag:Glaag_1779+gag:Glaag_1780+gag:Glaag_1781",NA,NA,NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4467","46","gag:Glaag_2104","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2104",NA,"rn:R01511 rn:R01514",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4468","49","gag:Glaag_1604","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_1604",NA,"rn:R01394",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4469","50","gag:Glaag_2027 / gag:Glaag_2668 / gag:Glaag_3897 / gag:Glaag_4107","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_2027+gag:Glaag_2668+gag:Glaag_3897+gag:Glaag_4107",NA,"rn:R05305",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
"entry4470","54","gag:Glaag_0658 / gag:Glaag_2668 / gag:Glaag_3024 / gag:Glaag_4107","gene","http://www.kegg.jp/dbget-bin/www_bget?gag:Glaag_0658+gag:Glaag_2668+gag:Glaag_3024+gag:Glaag_4107",NA,"rn:R06942",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01100"
