"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5955","6921","ply:C530_222","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_222",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5956","6922","ply:C530_222","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_222",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5957","195","ply:C530_153","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_153",NA,"rn:R12049",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01100"
"entry5959","601","ply:C530_114","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_114",NA,"rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5961","645","ply:C530_200","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_200",NA,"rn:R07168",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5963","721","ply:C530_164","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_164",NA,"rn:R09365",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry5964","725","ply:C530_051","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_051",NA,"rn:R03599",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry5965","752","ply:C530_144","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_144",NA,"rn:R00691",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5966","763","ply:C530_205","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_205",NA,"rn:R00299 rn:R00303",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry5967","832","ply:C530_021","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_021",NA,"rn:R06782",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5968","1025","ply:C530_111","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_111",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5969","1026","ply:C530_228 / ply:C530_229","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_228+ply:C530_229",NA,"rn:R02722",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5970","1556","ply:C530_114 / ply:C530_139 / ply:C530_140","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_114+ply:C530_139+ply:C530_140",NA,"rn:R00209 rn:R00212 rn:R01196 rn:R10866",NA,NA,NA,"line",NA,NA,"#6C63F6","#FFFFFF",0,"01100"
"entry5971","1586","ply:C530_128","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_128",NA,"rn:R07411",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5972","1662","ply:C530_216","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_216",NA,"rn:R07390 rn:R11062",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry5973","1685","ply:C530_114","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_114",NA,"rn:R01221",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5974","1898","ply:C530_229","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_229",NA,"rn:R02340",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5975","1899","ply:C530_228 / ply:C530_229","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_228+ply:C530_229",NA,"rn:R00673 rn:R00674",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5977","2010","ply:C530_056","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_056",NA,"rn:R01528 rn:R10221",NA,NA,NA,"line",NA,NA,"#6C63F6","#FFFFFF",0,"01100"
"entry5978","2082","ply:C530_224","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_224",NA,"rn:R00480",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5979","2083","ply:C530_277","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_277",NA,"rn:R01773 rn:R01775",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5980","2084","ply:C530_263","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_263",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5981","2085","ply:C530_278","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_278",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5982","2113","ply:C530_176","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_176",NA,"rn:R04198 rn:R04199",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5983","2114","ply:C530_141","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_141",NA,"rn:R10147",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5984","2120","ply:C530_113 / ply:C530_114","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_113+ply:C530_114",NA,"rn:R01933",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5985","2125","ply:C530_030","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_030",NA,"rn:R01398",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5986","2133","ply:C530_047 / ply:C530_257","gene","http://www.kegg.jp/dbget-bin/www_bget?ply:C530_047+ply:C530_257",NA,"rn:R01071",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
