"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4899","1657","dej:AWY79_16150","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_16150",NA,"rn:R11143",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4900","6918","dej:AWY79_16150","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_16150",NA,"rn:R12433",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4901","6920","dej:AWY79_16150","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_16150",NA,"rn:R12434",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4902","6921","dej:AWY79_14955","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14955",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4903","6922","dej:AWY79_14955","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14955",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4904","6925","dej:AWY79_14950","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14950",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4905","6926","dej:AWY79_14950","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14950",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4906","21","dej:AWY79_05800","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05800",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4907","22","dej:AWY79_01030","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_01030",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4908","23","dej:AWY79_05790","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05790",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4909","133","dej:AWY79_09620","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_09620",NA,"rn:R00956",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4910","134","dej:AWY79_07850 / dej:AWY79_13840","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_07850+dej:AWY79_13840",NA,"rn:R00883 rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4911","147","dej:AWY79_00030","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_00030",NA,"rn:R09959",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4912","195","dej:AWY79_05795","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05795",NA,"rn:R12049",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01100"
"entry4914","380","dej:AWY79_10650","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_10650",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4915","381","dej:AWY79_10850","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_10850",NA,"rn:R06513",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4916","382","dej:AWY79_07980 / dej:AWY79_09610 / dej:AWY79_13845","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_07980+dej:AWY79_09610+dej:AWY79_13845",NA,"rn:R06514",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4917","383","dej:AWY79_10845","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_10845",NA,"rn:R02777",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4919","567","dej:AWY79_14405","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14405",NA,"rn:R12001",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4920","568","dej:AWY79_09475","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_09475",NA,"rn:R01072",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01100"
"entry4921","570","dej:AWY79_05350 / dej:AWY79_05640","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05350+dej:AWY79_05640",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4922","595","dej:AWY79_12140","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_12140",NA,"rn:R12194",NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry4923","601","dej:AWY79_14200","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_14200",NA,"rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4925","609","dej:AWY79_08555","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_08555",NA,"rn:R12241",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4926","611","dej:AWY79_05780","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05780",NA,"rn:R12240",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4927","624","dej:AWY79_03685 / dej:AWY79_10300 / dej:AWY79_15685","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_03685+dej:AWY79_10300+dej:AWY79_15685",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4928","629","dej:AWY79_16930","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_16930",NA,"rn:R08572",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4929","635","dej:AWY79_05805","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_05805",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4930","637","dej:AWY79_12135","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_12135",NA,"rn:R04125",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4931","645","dej:AWY79_10815","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_10815",NA,"rn:R07168",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4933","675","dej:AWY79_08115","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_08115",NA,"rn:R00115 rn:R00120 rn:R00274 rn:R01108 rn:R01109 rn:R01110 rn:R01111 rn:R01875 rn:R02824 rn:R03167 rn:R03915 rn:R03984 rn:R04039",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry4934","683","dej:AWY79_02360 / dej:AWY79_11635 / dej:AWY79_13920 / dej:AWY79_17330","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_02360+dej:AWY79_11635+dej:AWY79_13920+dej:AWY79_17330",NA,"rn:R00253 rn:R00256",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4935","687","dej:AWY79_08785","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_08785",NA,"rn:R02274",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4936","716","dej:AWY79_09445","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_09445",NA,"rn:R04773",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry4937","718","dej:AWY79_09370","gene","http://www.kegg.jp/dbget-bin/www_bget?dej:AWY79_09370",NA,"rn:R08219 rn:R08224",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
