"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry3725","6960","ptr:461807 / ptr:748732","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:461807+ptr:748732",NA,NA,NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry3726","2664","ptr:473099","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:473099",NA,"rn:R06722",NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry3727","6961","ptr:457159 / ptr:463148 / ptr:736491","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:457159+ptr:463148+ptr:736491",NA,"rn:R12479",NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry3729","1655","ptr:101058263","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:101058263",NA,"rn:R07770",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3730","6921","ptr:471170","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:471170",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3731","6922","ptr:471170","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:471170",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3732","6923","ptr:100612970","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:100612970",NA,"rn:R12432",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3733","6925","ptr:100612970","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:100612970",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3734","6926","ptr:451421","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:451421",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry3735","2485","ptr:101057524 / ptr:451376 / ptr:457653 / ptr:739393","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:101057524+ptr:451376+ptr:457653+ptr:739393",NA,"rn:R01468",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry3736","6929","ptr:466102","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:466102",NA,"rn:R02464",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry3737","6904","ptr:463527","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:463527",NA,"rn:R05731",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3738","6907","ptr:738493","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:738493",NA,"rn:R12403",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3739","6908","ptr:465960","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:465960",NA,"rn:R12404",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3740","6909","ptr:104005443 / ptr:470682 / ptr:471968 / ptr:748654","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:104005443+ptr:470682+ptr:471968+ptr:748654",NA,"rn:R04018",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry3741","21","ptr:460234","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:460234",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3742","22","ptr:454986 / ptr:470233","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:454986+ptr:470233",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3743","23","ptr:471344 / ptr:746685","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:471344+ptr:746685",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3744","24","ptr:112204078","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:112204078",NA,"rn:R10208",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3745","25","ptr:456690","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:456690",NA,"rn:R01404",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3746","34","ptr:452985 / ptr:462999","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:452985+ptr:462999",NA,"rn:R00551",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry3747","38","ptr:454311","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:454311",NA,"rn:R12300",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry3748","42","ptr:107974583 / ptr:451547 / ptr:456526 / ptr:747462","gene","http://www.kegg.jp/dbget-bin/www_bget?ptr:107974583+ptr:451547+ptr:456526+ptr:747462",NA,NA,NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
