"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5124","21","eha:Ethha_2649","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_2649",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry5125","22","eha:Ethha_0266 / eha:Ethha_2652","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_0266+eha:Ethha_2652",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry5126","23","eha:Ethha_0424 / eha:Ethha_1224 / eha:Ethha_2650","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_0424+eha:Ethha_1224+eha:Ethha_2650",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry5127","119","eha:Ethha_2007","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_2007",NA,"rn:R00173",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5128","134","eha:Ethha_2288 / eha:Ethha_2355","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_2288+eha:Ethha_2355",NA,"rn:R00883 rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry5129","137","eha:Ethha_1017","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_1017",NA,"rn:R02030",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry5130","195","eha:Ethha_2643","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_2643",NA,"rn:R12049",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01100"
"entry5132","380","eha:Ethha_1541","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_1541",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5133","381","eha:Ethha_1537","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_1537",NA,"rn:R06513",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5134","382","eha:Ethha_1538","gene","http://www.kegg.jp/dbget-bin/www_bget?eha:Ethha_1538",NA,"rn:R06514",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
