"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4946","1657","arf:AR1Y2_1802","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1802",NA,"rn:R11143",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4947","6918","arf:AR1Y2_1802","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1802",NA,"rn:R12433",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4948","6920","arf:AR1Y2_1802","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1802",NA,"rn:R12434",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4949","21","arf:AR1Y2_3243","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3243",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4950","22","arf:AR1Y2_3245","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3245",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4951","23","arf:AR1Y2_1313 / arf:AR1Y2_3153 / arf:AR1Y2_3244","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1313+arf:AR1Y2_3153+arf:AR1Y2_3244",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4952","119","arf:AR1Y2_0646","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0646",NA,"rn:R00173",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4953","137","arf:AR1Y2_1771","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1771",NA,"rn:R02030",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4954","147","arf:AR1Y2_1410","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1410",NA,"rn:R09959",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4955","195","arf:AR1Y2_3246","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3246",NA,"rn:R12049",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01100"
"entry4957","380","arf:AR1Y2_3464","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3464",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4958","381","arf:AR1Y2_3463","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3463",NA,"rn:R06513",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4959","382","arf:AR1Y2_3461","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3461",NA,"rn:R06514",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4960","383","arf:AR1Y2_3462","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3462",NA,"rn:R02777",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry4962","568","arf:AR1Y2_0196 / arf:AR1Y2_0745","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0196+arf:AR1Y2_0745",NA,"rn:R01072",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01100"
"entry4963","570","arf:AR1Y2_0785","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0785",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4964","601","arf:AR1Y2_1812","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1812",NA,"rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4966","609","arf:AR1Y2_1374","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1374",NA,"rn:R12241",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4967","611","arf:AR1Y2_2324","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_2324",NA,"rn:R12240",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01100"
"entry4968","624","arf:AR1Y2_0119 / arf:AR1Y2_0224 / arf:AR1Y2_0370 / arf:AR1Y2_0487 / arf:AR1Y2_0513 / arf:AR1Y2_0560 / arf:AR1Y2_0592 / arf:AR1Y2_0757 / arf:AR1Y2_0758 / arf:AR1Y2_0961 / arf:AR1Y2_1054 / arf:AR1Y2_1307 / arf:AR1Y2_1749 / arf:AR1Y2_2502 / arf:AR1Y2_2855 / arf:AR1Y2_3016 / arf:AR1Y2_3035 / arf:AR1Y2_3109 / arf:AR1Y2_3361","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0119+arf:AR1Y2_0224+arf:AR1Y2_0370+arf:AR1Y2_0487+arf:AR1Y2_0513+arf:AR1Y2_0560+arf:AR1Y2_0592+arf:AR1Y2_0757+arf:AR1Y2_0758+arf:AR1Y2_0961+arf:AR1Y2_1054+arf:AR1Y2_1307+arf:AR1Y2_1749+arf:AR1Y2_2502+arf:AR1Y2_2855+arf:AR1Y2_3016+arf:AR1Y2_3035+arf:AR1Y2_3109+arf:AR1Y2_3361",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4969","626","arf:AR1Y2_1706 / arf:AR1Y2_3086 / arf:AR1Y2_3232","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1706+arf:AR1Y2_3086+arf:AR1Y2_3232",NA,"rn:R05338",NA,NA,NA,"line",NA,NA,"#6C63F6","#FFFFFF",0,"01100"
"entry4970","628","arf:AR1Y2_0027 / arf:AR1Y2_0499 / arf:AR1Y2_1707 / arf:AR1Y2_3085 / arf:AR1Y2_3234","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0027+arf:AR1Y2_0499+arf:AR1Y2_1707+arf:AR1Y2_3085+arf:AR1Y2_3234",NA,"rn:R05339",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4971","629","arf:AR1Y2_0640 / arf:AR1Y2_0703","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0640+arf:AR1Y2_0703",NA,"rn:R08572",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4972","635","arf:AR1Y2_1964","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1964",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry4973","643","arf:AR1Y2_1277","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1277",NA,"rn:R00943",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4974","645","arf:AR1Y2_0482","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_0482",NA,"rn:R07168",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry4976","665","arf:AR1Y2_3310","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_3310",NA,"rn:R00838",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry4977","673","arf:AR1Y2_1444","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1444",NA,"rn:R04951",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01100"
"entry4978","683","arf:AR1Y2_1180 / arf:AR1Y2_2642","gene","http://www.kegg.jp/dbget-bin/www_bget?arf:AR1Y2_1180+arf:AR1Y2_2642",NA,"rn:R00253 rn:R00256",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
