"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4223","1657","eoi:ECO111_5247","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_5247",NA,"rn:R11143",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4224","6918","eoi:ECO111_5247","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_5247",NA,"rn:R12433",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4225","6920","eoi:ECO111_5247","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_5247",NA,"rn:R12434",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4226","6921","eoi:ECO111_0658","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_0658",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4227","6922","eoi:ECO111_0658","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_0658",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4228","6925","eoi:ECO111_0660","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_0660",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4229","6926","eoi:ECO111_0660","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_0660",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4230","21","eoi:ECO111_1372","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_1372",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4231","22","eoi:ECO111_1369","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_1369",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4232","23","eoi:ECO111_1370","gene","http://www.kegg.jp/dbget-bin/www_bget?eoi:ECO111_1370",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
