"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry4717","6960","afla:FHG64_09640","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_09640",NA,NA,NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry4718","1657","afla:FHG64_03480","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_03480",NA,"rn:R11143",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4719","6918","afla:FHG64_03480","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_03480",NA,"rn:R12433",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4720","6920","afla:FHG64_03480","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_03480",NA,"rn:R12434",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4721","6921","afla:FHG64_13820","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_13820",NA,"rn:R12423",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4722","6922","afla:FHG64_13820","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_13820",NA,"rn:R12424",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4723","6925","afla:FHG64_07475","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_07475",NA,"rn:R12427",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4724","6926","afla:FHG64_07475","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_07475",NA,"rn:R12428",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry4725","21","afla:FHG64_10050","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_10050",NA,"rn:R02768 rn:R04355",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry4726","22","afla:FHG64_05895","gene","http://www.kegg.jp/dbget-bin/www_bget?afla:FHG64_05895",NA,"rn:R01626",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
