"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5275","28","mcub:MCBB_1816 / mcub:MCBB_1817 / mcub:MCBB_1819","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1816+mcub:MCBB_1817+mcub:MCBB_1819",NA,"rn:R09096 rn:R10219",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5276","63","mcub:MCBB_1532","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1532",NA,"rn:R02921",NA,NA,NA,"line",NA,NA,"#99CCFF","#FFFFFF",0,"01100"
"entry5277","134","mcub:MCBB_1473","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1473",NA,"rn:R00883 rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry5278","147","mcub:MCBB_2080","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_2080",NA,"rn:R09959",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5279","380","mcub:MCBB_0372 / mcub:MCBB_1523","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0372+mcub:MCBB_1523",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5280","381","mcub:MCBB_0548 / mcub:MCBB_1295","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0548+mcub:MCBB_1295",NA,"rn:R06513",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5281","382","mcub:MCBB_0549 / mcub:MCBB_1524","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0549+mcub:MCBB_1524",NA,"rn:R06514",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5282","383","mcub:MCBB_0550","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0550",NA,"rn:R02777",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5284","551","mcub:MCBB_1337","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1337",NA,"rn:R10093",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5285","560","mcub:MCBB_1171","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1171",NA,"rn:R10757",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5286","563","mcub:MCBB_0063 / mcub:MCBB_0533","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0063+mcub:MCBB_0533",NA,"rn:R11628",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5287","564","mcub:MCBB_0331","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0331",NA,"rn:R11629",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5288","565","mcub:MCBB_2224","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_2224",NA,"rn:R11626",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5289","568","mcub:MCBB_0522","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0522",NA,"rn:R01072",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01100"
"entry5290","570","mcub:MCBB_0050","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0050",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5291","601","mcub:MCBB_0595","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0595",NA,"rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5293","624","mcub:MCBB_0939 / mcub:MCBB_1644","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0939+mcub:MCBB_1644",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5294","626","mcub:MCBB_0021 / mcub:MCBB_0344","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0021+mcub:MCBB_0344",NA,"rn:R05338",NA,NA,NA,"line",NA,NA,"#6C63F6","#FFFFFF",0,"01100"
"entry5295","628","mcub:MCBB_0119 / mcub:MCBB_1608","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0119+mcub:MCBB_1608",NA,"rn:R05339",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5296","630","mcub:MCBB_0566","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0566",NA,"rn:R08332",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5297","632","mcub:MCBB_0566","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0566",NA,"rn:R08331",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5298","634","mcub:MCBB_0567 / mcub:MCBB_0707","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0567+mcub:MCBB_0707",NA,"rn:R09720",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5299","635","mcub:MCBB_2244","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_2244",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
"entry5300","638","mcub:MCBB_1816 / mcub:MCBB_1817 / mcub:MCBB_1819","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1816+mcub:MCBB_1817+mcub:MCBB_1819",NA,"rn:R09096 rn:R10219",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5301","640","mcub:MCBB_1144 / mcub:MCBB_1977 / mcub:MCBB_1978 / mcub:MCBB_1979 / mcub:MCBB_1980 / mcub:MCBB_1981 / mcub:MCBB_1982 / mcub:MCBB_1983 / mcub:MCBB_1984","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1144+mcub:MCBB_1977+mcub:MCBB_1978+mcub:MCBB_1979+mcub:MCBB_1980+mcub:MCBB_1981+mcub:MCBB_1982+mcub:MCBB_1983+mcub:MCBB_1984",NA,"rn:R04347 rn:R12291",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5302","646","mcub:MCBB_1816 / mcub:MCBB_1817","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_1816+mcub:MCBB_1817",NA,"rn:R10243",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5304","683","mcub:MCBB_0156 / mcub:MCBB_0507","gene","http://www.kegg.jp/dbget-bin/www_bget?mcub:MCBB_0156+mcub:MCBB_0507",NA,"rn:R00253 rn:R00256",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01100"
