"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry5132","552","hwc:Hqrw_1624","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_1624",NA,"rn:R10561",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5133","23","hwc:Hqrw_1980 / hwc:Hqrw_2554","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_1980+hwc:Hqrw_2554",NA,"rn:R02767",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01100"
"entry5134","40","hwc:Hqrw_2732 / hwc:Hqrw_3508 / hwc:Hqrw_3509 / hwc:Hqrw_3510 / hwc:Hqrw_3511","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_2732+hwc:Hqrw_3508+hwc:Hqrw_3509+hwc:Hqrw_3510+hwc:Hqrw_3511",NA,NA,NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01100"
"entry5135","134","hwc:Hqrw_3821","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_3821",NA,"rn:R00883 rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01100"
"entry5136","147","hwc:Hqrw_2714","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_2714",NA,"rn:R09959",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5137","212","hwc:Hqrw_3254","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_3254",NA,"rn:R02065",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5138","380","hwc:Hqrw_1787 / hwc:Hqrw_3016 / hwc:Hqrw_3398 / hwc:Hqrw_3399 / hwc:Hqrw_3501 / hwc:Hqrw_3506","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_1787+hwc:Hqrw_3016+hwc:Hqrw_3398+hwc:Hqrw_3399+hwc:Hqrw_3501+hwc:Hqrw_3506",NA,"rn:R02328",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5140","551","hwc:Hqrw_3337","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_3337",NA,"rn:R10093",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01100"
"entry5141","560","hwc:Hqrw_1503 / hwc:Hqrw_2013","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_1503+hwc:Hqrw_2013",NA,"rn:R10757",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01100"
"entry5142","568","hwc:Hqrw_3293","gene","http://www.kegg.jp/dbget-bin/www_bget?hwc:Hqrw_3293",NA,"rn:R01072",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01100"
