"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1760","15","pcz:PCL1606_38810 / pcz:PCL1606_38820 / pcz:PCL1606_38830","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_38810+pcz:PCL1606_38820+pcz:PCL1606_38830",NA,"rn:R00475",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1761","17","pcz:PCL1606_47140 / pcz:PCL1606_49000","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_47140+pcz:PCL1606_49000",NA,"rn:R00746 rn:R00754 rn:R05198 rn:R09127 rn:R09479",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry1762","67","pcz:PCL1606_23780","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_23780",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1763","145","pcz:PCL1606_56270","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_56270",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1764","162","pcz:PCL1606_11280","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_11280",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1765","191","pcz:PCL1606_32310","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_32310",NA,"rn:R01824",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1766","192","pcz:PCL1606_32290","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_32290",NA,"rn:R11256",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1767","193","pcz:PCL1606_32330","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_32330",NA,"rn:R11261",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1768","225","pcz:PCL1606_36260 / pcz:PCL1606_36270 / pcz:PCL1606_36280","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_36260+pcz:PCL1606_36270+pcz:PCL1606_36280",NA,"rn:R05704",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1769","230","pcz:PCL1606_34240 / pcz:PCL1606_47300","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_34240+pcz:PCL1606_47300",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1770","232","pcz:PCL1606_32280","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_32280",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1771","233","pcz:PCL1606_32430","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_32430",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1772","234","pcz:PCL1606_06420 / pcz:PCL1606_32300 / pcz:PCL1606_56950","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_06420+pcz:PCL1606_32300+pcz:PCL1606_56950",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1773","235","pcz:PCL1606_07410","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_07410",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1774","236","pcz:PCL1606_07410 / pcz:PCL1606_07470","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_07410+pcz:PCL1606_07470",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1775","237","pcz:PCL1606_07390","gene","http://www.kegg.jp/dbget-bin/www_bget?pcz:PCL1606_07390",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
