"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1816","17","png:PNIG_a1849 / png:PNIG_a2881 / png:PNIG_b0688","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1849+png:PNIG_a2881+png:PNIG_b0688",NA,"rn:R00746 rn:R00754 rn:R05198 rn:R09127 rn:R09479",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry1817","67","png:PNIG_a0249","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0249",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1818","138","png:PNIG_a2586","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2586",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1819","145","png:PNIG_a3678","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3678",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1820","162","png:PNIG_b0142","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0142",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1821","234","png:PNIG_a2994 / png:PNIG_a3598","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2994+png:PNIG_a3598",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1822","235","png:PNIG_a1596 / png:PNIG_a3038","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1596+png:PNIG_a3038",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1823","236","png:PNIG_a0638 / png:PNIG_a3038","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0638+png:PNIG_a3038",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1824","237","png:PNIG_a3041","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3041",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1825","238","png:PNIG_a3041","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3041",NA,"rn:R03458",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1826","239","png:PNIG_a0109","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0109",NA,"rn:R07280",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1827","240","png:PNIG_a3037","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3037",NA,"rn:R04457",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1828","242","png:PNIG_a2262 / png:PNIG_a3040","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2262+png:PNIG_a3040",NA,"rn:R00066",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1829","243","png:PNIG_a1106","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1106",NA,"rn:R00549",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1830","244","png:PNIG_a1106","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1106",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1831","247","png:PNIG_a3704","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3704",NA,"rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1832","255","png:PNIG_a0774","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0774",NA,"rn:R00586",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1833","256","png:PNIG_a2579","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2579",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1834","257","png:PNIG_a3045","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3045",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1835","258","png:PNIG_a3044","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3044",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1836","259","png:PNIG_b0076","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0076",NA,"rn:R00479",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1837","260","png:PNIG_b0075","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0075",NA,"rn:R00472",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1838","267","png:PNIG_a0196","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0196",NA,"rn:R07859 rn:R07860",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1839","275","png:PNIG_a0013 / png:PNIG_a1167","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0013+png:PNIG_a1167",NA,"rn:R07891",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1840","278","png:PNIG_a0013 / png:PNIG_a1167","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0013+png:PNIG_a1167",NA,"rn:R07895",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1841","281","png:PNIG_a0013 / png:PNIG_a1167","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0013+png:PNIG_a1167",NA,"rn:R07899",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1842","296","png:PNIG_a0211 / png:PNIG_a0459 / png:PNIG_b0732 / png:PNIG_p0033","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0211+png:PNIG_a0459+png:PNIG_b0732+png:PNIG_p0033",NA,"rn:R00842 rn:R00844 rn:R00846 rn:R00848",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1843","300","png:PNIG_a2898 / png:PNIG_a3638","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2898+png:PNIG_a3638",NA,"rn:R07411",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1844","301","png:PNIG_a1111","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1111",NA,"rn:R05884",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1845","315","png:PNIG_a2692","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2692",NA,"rn:R06447",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1846","333","png:PNIG_a0319","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0319",NA,"rn:R03313",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
"entry1847","373","png:PNIG_a1401","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1401",NA,"rn:R02964",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1848","407","png:PNIG_a2433 / png:PNIG_a3458","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2433+png:PNIG_a3458",NA,"rn:R01334",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1849","408","png:PNIG_a2355 / png:PNIG_b0302","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2355+png:PNIG_b0302",NA,"rn:R00009",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1850","411","png:PNIG_a2803 / png:PNIG_a3333","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2803+png:PNIG_a3333",NA,"rn:R01392 rn:R01388",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1851","412","png:PNIG_b0523","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0523",NA,"rn:R01514",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1852","415","png:PNIG_a0489 / png:PNIG_a0919 / png:PNIG_a3156 / png:PNIG_a3157 / png:PNIG_a3158","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0489+png:PNIG_a0919+png:PNIG_a3156+png:PNIG_a3157+png:PNIG_a3158",NA,"rn:R01221",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1853","419","png:PNIG_a3673","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3673",NA,"rn:R01213",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1854","431","png:PNIG_a1691","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1691",NA,"rn:R02199",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
"entry1855","432","png:PNIG_a1691","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a1691",NA,"rn:R01214",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
"entry1856","436","png:PNIG_a3394","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a3394",NA,"rn:R09248",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1857","439","png:PNIG_a2989","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2989",NA,"rn:R01302",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1858","447","png:PNIG_a2970","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2970",NA,"rn:R00489",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1859","448","png:PNIG_a0721","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0721",NA,"rn:R01226",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1860","454","png:PNIG_a0845","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0845",NA,"rn:R00235",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry1861","455","png:PNIG_a0310","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a0310",NA,"rn:R01122",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1862","456","png:PNIG_a2964","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_a2964",NA,"rn:R01086",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1863","461","png:PNIG_b0668","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0668",NA,"rn:R01071",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1864","462","png:PNIG_b0652","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0652",NA,"rn:R04035",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1865","463","png:PNIG_b0652","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0652",NA,"rn:R04037",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1866","464","png:PNIG_b0662","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0662",NA,"rn:R04640",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1867","465","png:PNIG_b0653 / png:PNIG_b0663","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0653+png:PNIG_b0663",NA,"rn:R04558",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1868","466","png:PNIG_b0664","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0664",NA,"rn:R03457",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1869","467","png:PNIG_b0665","gene","http://www.kegg.jp/dbget-bin/www_bget?png:PNIG_b0665",NA,"rn:R03243",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
