"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1782","67","fpn:ABE65_010020 / fpn:ABE65_010025","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_010020+fpn:ABE65_010025",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1783","145","fpn:ABE65_003670","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003670",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1784","161","fpn:ABE65_003680","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003680",NA,"rn:R04178",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1785","162","fpn:ABE65_003675","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003675",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1786","163","fpn:ABE65_020435","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_020435",NA,"rn:R11522 rn:R12002",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1787","230","fpn:ABE65_001745 / fpn:ABE65_018450","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_001745+fpn:ABE65_018450",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1788","233","fpn:ABE65_014095","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_014095",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1789","234","fpn:ABE65_015885","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_015885",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1790","235","fpn:ABE65_003380","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003380",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1791","236","fpn:ABE65_003300 / fpn:ABE65_003380","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003300+fpn:ABE65_003380",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1792","237","fpn:ABE65_003295","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003295",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1793","238","fpn:ABE65_003295","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003295",NA,"rn:R03458",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1794","239","fpn:ABE65_007360","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_007360",NA,"rn:R07280",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1795","240","fpn:ABE65_003385","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003385",NA,"rn:R04457",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1796","242","fpn:ABE65_003375","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_003375",NA,"rn:R00066",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1797","243","fpn:ABE65_008870","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_008870",NA,"rn:R00549",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1798","244","fpn:ABE65_008870","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_008870",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1799","245","fpn:ABE65_018600","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_018600",NA,"rn:R01819",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1800","246","fpn:ABE65_014090","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_014090",NA,"rn:R01818",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1801","247","fpn:ABE65_014090 / fpn:ABE65_019120 / fpn:ABE65_019380","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_014090+fpn:ABE65_019120+fpn:ABE65_019380",NA,"rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1802","255","fpn:ABE65_000495","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_000495",NA,"rn:R00586",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1803","256","fpn:ABE65_000375 / fpn:ABE65_015910","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_000375+fpn:ABE65_015910",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1804","257","fpn:ABE65_004645 / fpn:ABE65_017030","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_004645+fpn:ABE65_017030",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1805","258","fpn:ABE65_017025","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_017025",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1806","259","fpn:ABE65_019715","gene","http://www.kegg.jp/dbget-bin/www_bget?fpn:ABE65_019715",NA,"rn:R00479",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
