"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1756","15","eum:ECUMN_3453 / eum:ECUMN_3454 / eum:ECUMN_3455","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3453+eum:ECUMN_3454+eum:ECUMN_3455",NA,"rn:R00475",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1757","17","eum:ECUMN_0399 / eum:ECUMN_1538 / eum:ECUMN_1733 / eum:ECUMN_2765 / eum:ECUMN_4104","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_0399+eum:ECUMN_1538+eum:ECUMN_1733+eum:ECUMN_2765+eum:ECUMN_4104",NA,"rn:R00746 rn:R00754 rn:R05198 rn:R09127 rn:R09479",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry1758","67","eum:ECUMN_3831","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3831",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1759","138","eum:ECUMN_1912 / eum:ECUMN_3492","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_1912+eum:ECUMN_3492",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1760","145","eum:ECUMN_4521","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_4521",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1761","155","eum:ECUMN_1906","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_1906",NA,"rn:R04979",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1762","162","eum:ECUMN_0514","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_0514",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1763","230","eum:ECUMN_2466","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_2466",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1764","231","eum:ECUMN_3894","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3894",NA,"rn:R00948 rn:R00951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1765","232","eum:ECUMN_3893","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3893",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1766","233","eum:ECUMN_3896","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3896",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1767","234","eum:ECUMN_3875 / eum:ECUMN_3876 / eum:ECUMN_3883 / eum:ECUMN_3892","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3875+eum:ECUMN_3876+eum:ECUMN_3883+eum:ECUMN_3892",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1768","235","eum:ECUMN_3529","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_3529",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1769","236","eum:ECUMN_1579","gene","http://www.kegg.jp/dbget-bin/www_bget?eum:ECUMN_1579",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
