"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2056","17","scon:SCRE_0089 / scon:SCRE_0313","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0089+scon:SCRE_0313",NA,"rn:R00746 rn:R00754 rn:R05198 rn:R09127 rn:R09479",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2057","138","scon:SCRE_0494","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0494",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2058","231","scon:SCRE_0638 / scon:SCRE_0639","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0638+scon:SCRE_0639",NA,"rn:R00948 rn:R00951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2059","232","scon:SCRE_0640","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0640",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2060","233","scon:SCRE_0637","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0637",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2061","234","scon:SCRE_0641 / scon:SCRE_0809 / scon:SCRE_1813 / scon:SCRE_1814 / scon:SCRE_1820","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0641+scon:SCRE_0809+scon:SCRE_1813+scon:SCRE_1814+scon:SCRE_1820",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2062","239","scon:SCRE_0314","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0314",NA,"rn:R07280",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry2063","243","scon:SCRE_0702","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0702",NA,"rn:R00549",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry2064","244","scon:SCRE_0702","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0702",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry2065","245","scon:SCRE_1542","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1542",NA,"rn:R01819",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2066","255","scon:SCRE_1611","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1611",NA,"rn:R00586",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2067","256","scon:SCRE_0440","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0440",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2068","257","scon:SCRE_0753","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0753",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2069","258","scon:SCRE_0109","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0109",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2070","296","scon:SCRE_1706","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1706",NA,"rn:R00842 rn:R00844 rn:R00846 rn:R00848",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry2071","315","scon:SCRE_1667","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1667",NA,"rn:R06447",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry2072","407","scon:SCRE_1873","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1873",NA,"rn:R01334",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2073","415","scon:SCRE_0864","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0864",NA,"rn:R01221",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2074","417","scon:SCRE_0042","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0042",NA,"rn:R04467",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2075","455","scon:SCRE_0682","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0682",NA,"rn:R01122",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry2076","468","scon:SCRE_0915","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0915",NA,"rn:R03013",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2077","499","scon:SCRE_0864","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0864",NA,"rn:R04225 rn:R03174 rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2078","516","scon:SCRE_1871 / scon:SCRE_1872","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1871+scon:SCRE_1872",NA,"rn:R00220",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2079","517","scon:SCRE_0845","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0845",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2080","525","scon:SCRE_0625","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0625",NA,"rn:R00226",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2081","538","scon:SCRE_0134","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0134",NA,"rn:R00259",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2082","566","scon:SCRE_0864","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0864",NA,"rn:R08549",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2083","570","scon:SCRE_0864 / scon:SCRE_0865 / scon:SCRE_0866 / scon:SCRE_0867","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0864+scon:SCRE_0865+scon:SCRE_0866+scon:SCRE_0867",NA,"rn:R00209 rn:R01196",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2084","571","scon:SCRE_0695","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0695",NA,"rn:R00200",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2085","572","scon:SCRE_0912","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0912",NA,"rn:R00658",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2086","573","scon:SCRE_0890","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0890",NA,"rn:R00703",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2087","575","scon:SCRE_0480","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0480",NA,"rn:R00341 rn:R00431 rn:R00726",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2088","576","scon:SCRE_0686 / scon:SCRE_1404","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0686+scon:SCRE_1404",NA,"rn:R01518",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2089","577","scon:SCRE_1693","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_1693",NA,"rn:R01512",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2090","578","scon:SCRE_0199","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0199",NA,"rn:R01061 rn:R01063",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2091","579","scon:SCRE_0354","gene","http://www.kegg.jp/dbget-bin/www_bget?scon:SCRE_0354",NA,"rn:R01070",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
