"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry2192","243","mpb:C985_0158","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0158",NA,"rn:R00549",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry2193","244","mpb:C985_0158","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0158",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry2194","246","mpb:C985_0069","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0069",NA,"rn:R01818",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2195","296","mpb:C985_0051","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0051",NA,"rn:R00842 rn:R00844 rn:R00846 rn:R00848",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry2196","415","mpb:C985_0393","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0393",NA,"rn:R01221",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry2197","499","mpb:C985_0393","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0393",NA,"rn:R04225 rn:R03174 rn:R07618",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2198","517","mpb:C985_0587","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0587",NA,"rn:R00945",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry2199","566","mpb:C985_0393","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0393",NA,"rn:R08549",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2200","570","mpb:C985_0393 / mpb:C985_0394 / mpb:C985_0395 / mpb:C985_0396","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0393+mpb:C985_0394+mpb:C985_0395+mpb:C985_0396",NA,"rn:R00209 rn:R01196",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2201","571","mpb:C985_0301","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0301",NA,"rn:R00200",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2202","572","mpb:C985_0611","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0611",NA,"rn:R00658",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2203","573","mpb:C985_0679","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0679",NA,"rn:R00703",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2204","576","mpb:C985_0632","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0632",NA,"rn:R01518",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2205","577","mpb:C985_0436","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0436",NA,"rn:R01512",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2206","578","mpb:C985_0437","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0437",NA,"rn:R01061 rn:R01063",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2207","579","mpb:C985_0027","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0027",NA,"rn:R01070",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2208","581","mpb:C985_0300","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0300",NA,"rn:R02073 rn:R04779 rn:R04780 rn:R09084",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2209","582","mpb:C985_0248","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0248",NA,"rn:R02740",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2210","583","mpb:C985_0248","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0248",NA,"rn:R02739",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2211","587","mpb:C985_0249","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0249",NA,"rn:R01529",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2212","588","mpb:C985_0087","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0087",NA,"rn:R01830",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2213","590","mpb:C985_0248","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0248",NA,"rn:R03321",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2214","593","mpb:C985_0087","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0087",NA,"rn:R01641",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2215","595","mpb:C985_0600","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0600",NA,"rn:R01056",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry2216","596","mpb:C985_0076","gene","http://www.kegg.jp/dbget-bin/www_bget?mpb:C985_0076",NA,"rn:R01049",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
