"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1826","17","cgl:NCgl0219 / cgl:NCgl2449 / cgl:NCgl2709","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl0219+cgl:NCgl2449+cgl:NCgl2709",NA,"rn:R00746 rn:R00754 rn:R05198 rn:R09127 rn:R09479",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01110"
"entry1827","138","cgl:NCgl2227","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl2227",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1828","145","cgl:NCgl0420","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl0420",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1829","149","cgl:NCgl0951","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl0951",NA,"rn:R08528",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1830","152","cgl:NCgl2146","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl2146",NA,"rn:R00311 rn:R11579",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1831","161","cgl:NCgl0421","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl0421",NA,"rn:R04178",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1832","162","cgl:NCgl1479","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1479",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1833","191","cgl:NCgl2037","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl2037",NA,"rn:R01824",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1834","192","cgl:NCgl2045","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl2045",NA,"rn:R11256",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1835","193","cgl:NCgl2026","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl2026",NA,"rn:R11261",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1836","230","cgl:NCgl0311","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl0311",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1837","231","cgl:NCgl1073","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1073",NA,"rn:R00948 rn:R00951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1838","233","cgl:NCgl1177","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1177",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1839","234","cgl:NCgl1255 / cgl:NCgl2006 / cgl:NCgl2217","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1255+cgl:NCgl2006+cgl:NCgl2217",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1840","235","cgl:NCgl1533","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1533",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1841","236","cgl:NCgl1533","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1533",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1842","237","cgl:NCgl1535","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1535",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1843","238","cgl:NCgl1535","gene","http://www.kegg.jp/dbget-bin/www_bget?cgl:NCgl1535",NA,"rn:R03458",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
