"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1924","15","shi:Shel_12710","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_12710",NA,"rn:R00475",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1925","65","shi:Shel_11630","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_11630",NA,"rn:R12001",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1926","67","shi:Shel_11590","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_11590",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1927","138","shi:Shel_10650","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_10650",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1928","145","shi:Shel_01860 / shi:Shel_19550 / shi:Shel_25860","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_01860+shi:Shel_19550+shi:Shel_25860",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1929","162","shi:Shel_27010","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_27010",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1930","230","shi:Shel_17700","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17700",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1931","231","shi:Shel_17050 / shi:Shel_17060","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17050+shi:Shel_17060",NA,"rn:R00948 rn:R00951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1932","232","shi:Shel_17040","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17040",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1933","233","shi:Shel_17070","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17070",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1934","234","shi:Shel_17010 / shi:Shel_17030","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17010+shi:Shel_17030",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1935","235","shi:Shel_07110","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07110",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1936","236","shi:Shel_07110","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07110",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1937","237","shi:Shel_07090","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07090",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1938","238","shi:Shel_07090","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07090",NA,"rn:R03458",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1939","240","shi:Shel_07120","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07120",NA,"rn:R04457",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1940","242","shi:Shel_07100","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_07100",NA,"rn:R00066",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1941","243","shi:Shel_09400","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_09400",NA,"rn:R00549",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1942","244","shi:Shel_09400","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_09400",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1943","255","shi:Shel_22670","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_22670",NA,"rn:R00586",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1944","256","shi:Shel_04800","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_04800",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1945","257","shi:Shel_16080 / shi:Shel_24420","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_16080+shi:Shel_24420",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1946","258","shi:Shel_16070","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_16070",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1947","296","shi:Shel_06270 / shi:Shel_09720","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_06270+shi:Shel_09720",NA,"rn:R00842 rn:R00844 rn:R00846 rn:R00848",NA,NA,NA,"line",NA,NA,"#80CCB3","#FFFFFF",0,"01110"
"entry1948","301","shi:Shel_09680","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_09680",NA,"rn:R05884",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1949","315","shi:Shel_23600","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_23600",NA,"rn:R06447",NA,NA,NA,"line",NA,NA,"#9EE284","#FFFFFF",0,"01110"
"entry1950","333","shi:Shel_19350","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_19350",NA,"rn:R03313",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
"entry1951","407","shi:Shel_00150 / shi:Shel_07130 / shi:Shel_20950","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_00150+shi:Shel_07130+shi:Shel_20950",NA,"rn:R01334",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1952","415","shi:Shel_13830","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_13830",NA,"rn:R01221",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1953","419","shi:Shel_17160","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_17160",NA,"rn:R01213",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1954","431","shi:Shel_12950","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_12950",NA,"rn:R02199",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
"entry1955","432","shi:Shel_12950","gene","http://www.kegg.jp/dbget-bin/www_bget?shi:Shel_12950",NA,"rn:R01214",NA,NA,NA,"line",NA,NA,"#F06292","#FFFFFF",0,"01110"
