"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1870","138","wij:BWZ20_10025 / wij:BWZ20_14705","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_10025+wij:BWZ20_14705",NA,"rn:R01286",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1871","145","wij:BWZ20_09675","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_09675",NA,"rn:R04972",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1872","162","wij:BWZ20_09705","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_09705",NA,"rn:R11329",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1873","230","wij:BWZ20_07965 / wij:BWZ20_14375 / wij:BWZ20_14380","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_07965+wij:BWZ20_14375+wij:BWZ20_14380",NA,"rn:R02985",NA,NA,NA,"line",NA,NA,"#FF9900","#FFFFFF",0,"01110"
"entry1874","231","wij:BWZ20_01135","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_01135",NA,"rn:R00948 rn:R00951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1875","232","wij:BWZ20_10175","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_10175",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1876","233","wij:BWZ20_01150","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_01150",NA,"rn:R02110",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1877","235","wij:BWZ20_14780","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_14780",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1878","236","wij:BWZ20_14780","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_14780",NA,"rn:R00425",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1879","237","wij:BWZ20_03700","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_03700",NA,"rn:R03459",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1880","238","wij:BWZ20_03700","gene","http://www.kegg.jp/dbget-bin/www_bget?wij:BWZ20_03700",NA,"rn:R03458",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
