"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1967","67","mvu:Metvu_0492","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0492",NA,"rn:R02864",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1968","68","mvu:Metvu_0528","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0528",NA,"rn:R11626",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1969","70","mvu:Metvu_0736","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0736",NA,"rn:R11628",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1970","71","mvu:Metvu_0835","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0835",NA,"rn:R11629",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1971","232","mvu:Metvu_0784","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0784",NA,"rn:R02421",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1972","234","mvu:Metvu_1413","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_1413",NA,"rn:R02111",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1973","235","mvu:Metvu_0493","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0493",NA,"rn:R07281",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1974","240","mvu:Metvu_1230","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_1230",NA,"rn:R04457",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1975","242","mvu:Metvu_1516","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_1516",NA,"rn:R00066",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1976","244","mvu:Metvu_0383","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0383",NA,"rn:R00161",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01110"
"entry1977","245","mvu:Metvu_0406","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0406",NA,"rn:R01819",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1978","246","mvu:Metvu_1438","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_1438",NA,"rn:R01818",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1979","247","mvu:Metvu_0406","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0406",NA,"rn:R00885",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01110"
"entry1980","257","mvu:Metvu_0409","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0409",NA,"rn:R01771",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1981","258","mvu:Metvu_0912","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0912",NA,"rn:R01466",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
"entry1982","374","mvu:Metvu_0910","gene","http://www.kegg.jp/dbget-bin/www_bget?mvu:Metvu_0910",NA,"rn:R08569",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01110"
