"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1115","13","reu:Reut_A1662","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1662",NA,"rn:R12216",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1116","17","reu:Reut_B5663","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B5663",NA,"rn:R02274",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1117","18","reu:Reut_B3638 / reu:Reut_B4208 / reu:Reut_B4277 / reu:Reut_B5660 / reu:Reut_C5901 / reu:Reut_C6272","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B3638+reu:Reut_B4208+reu:Reut_B4277+reu:Reut_B5660+reu:Reut_C5901+reu:Reut_C6272",NA,"rn:R02401",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1118","19","reu:Reut_A1662","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1662",NA,"rn:R12216",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1119","23","reu:Reut_A0456 / reu:Reut_A1288 / reu:Reut_B3724","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0456+reu:Reut_A1288+reu:Reut_B3724",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1120","46","reu:Reut_A2123","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2123",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1121","47","reu:Reut_A3043","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A3043",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1122","48","reu:Reut_A2625","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2625",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1123","49","reu:Reut_A3149","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A3149",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1124","50","reu:Reut_A0700","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0700",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1125","51","reu:Reut_A0701","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0701",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1126","52","reu:Reut_A0701 / reu:Reut_A2691 / reu:Reut_B5019","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0701+reu:Reut_A2691+reu:Reut_B5019",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1127","58","reu:Reut_A1408 / reu:Reut_B3825 / reu:Reut_B4150 / reu:Reut_C6425","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1408+reu:Reut_B3825+reu:Reut_B4150+reu:Reut_C6425",NA,"rn:R01171 rn:R01175 rn:R09738",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1128","59","reu:Reut_B5824","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B5824",NA,"rn:R01172",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1129","65","reu:Reut_A1545 / reu:Reut_A1552","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1545+reu:Reut_A1552",NA,"rn:R01836 rn:R01838",NA,NA,NA,"line",NA,NA,"#80CCCC","#FFFFFF",0,"01120"
"entry1130","83","reu:Reut_B5663","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B5663",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1131","90","reu:Reut_A1624","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1624",NA,"rn:R00261",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1132","109","reu:Reut_A1547","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A1547",NA,"rn:R10769",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1133","111","reu:Reut_A0805","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0805",NA,"rn:R02488",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1134","114","reu:Reut_C5886","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_C5886",NA,"rn:R10210",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1135","116","reu:Reut_C5888 / reu:Reut_C5889 / reu:Reut_C5890","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_C5888+reu:Reut_C5889+reu:Reut_C5890",NA,"rn:R02987",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1136","117","reu:Reut_C5887","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_C5887",NA,"rn:R02986",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1137","120","reu:Reut_A3077","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A3077",NA,"rn:R10213",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1138","129","reu:Reut_A0815","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0815",NA,"rn:R01712 rn:R05839 rn:R01713 rn:R01710",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1139","130","reu:Reut_A0010 / reu:Reut_A0815","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0010+reu:Reut_A0815",NA,"rn:R01708 rn:R01711",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1140","134","reu:Reut_B4719 / reu:Reut_B4720 / reu:Reut_B4721","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B4719+reu:Reut_B4720+reu:Reut_B4721",NA,"rn:R07709 rn:R07710",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1141","138","reu:Reut_A0557 / reu:Reut_B4512","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0557+reu:Reut_B4512",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1142","149","reu:Reut_A0050","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0050",NA,"rn:R10691",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1143","168","reu:Reut_A2441 / reu:Reut_A2847","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2441+reu:Reut_A2847",NA,"rn:R00216",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1144","170","reu:Reut_B4721","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B4721",NA,"rn:R05424",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1145","171","reu:Reut_A0557 / reu:Reut_B4512","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A0557+reu:Reut_B4512",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1146","174","reu:Reut_B4140","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_B4140",NA,"rn:R00704",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1147","175","reu:Reut_A2504","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2504",NA,"rn:R01016",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1148","176","reu:Reut_A2513 / reu:Reut_B3787","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2513+reu:Reut_B3787",NA,"rn:R09126",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1149","177","reu:Reut_A2512 / reu:Reut_B3788","gene","http://www.kegg.jp/dbget-bin/www_bget?reu:Reut_A2512+reu:Reut_B3788",NA,"rn:R09125",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
