"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1413","13","leh:C3F35_09135","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09135",NA,"rn:R12216",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1414","14","leh:C3F35_07590","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_07590",NA,"rn:R00462",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1415","15","leh:C3F35_15085","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_15085",NA,"rn:R12214",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1416","16","leh:C3F35_09125 / leh:C3F35_22970","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09125+leh:C3F35_22970",NA,"rn:R12215",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1417","17","leh:C3F35_09150","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09150",NA,"rn:R02274",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1418","18","leh:C3F35_08890 / leh:C3F35_09145 / leh:C3F35_14330 / leh:C3F35_26265","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_08890+leh:C3F35_09145+leh:C3F35_14330+leh:C3F35_26265",NA,"rn:R02401",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1419","19","leh:C3F35_09135","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09135",NA,"rn:R12216",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1420","20","leh:C3F35_09140","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09140",NA,"rn:R12217",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1421","23","leh:C3F35_02265","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_02265",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1422","46","leh:C3F35_18405","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_18405",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1423","47","leh:C3F35_21415","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_21415",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1424","48","leh:C3F35_07740","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_07740",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1425","49","leh:C3F35_06890","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_06890",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1426","50","leh:C3F35_12730","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12730",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1427","51","leh:C3F35_12725","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12725",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1428","52","leh:C3F35_12720 / leh:C3F35_13665 / leh:C3F35_16520","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12720+leh:C3F35_13665+leh:C3F35_16520",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1429","53","leh:C3F35_13665 / leh:C3F35_16520","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_13665+leh:C3F35_16520",NA,"rn:R03947",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1430","59","leh:C3F35_21630","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_21630",NA,"rn:R01172",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1431","83","leh:C3F35_09150","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09150",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1432","129","leh:C3F35_01540","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_01540",NA,"rn:R01712 rn:R05839 rn:R01713 rn:R01710",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1433","130","leh:C3F35_01170 / leh:C3F35_01540","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_01170+leh:C3F35_01540",NA,"rn:R01708 rn:R01711",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1434","135","leh:C3F35_12195","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12195",NA,"rn:R02263",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1435","138","leh:C3F35_10170 / leh:C3F35_15835 / leh:C3F35_19615","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_10170+leh:C3F35_15835+leh:C3F35_19615",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1436","139","leh:C3F35_03530 / leh:C3F35_03535 / leh:C3F35_03540 / leh:C3F35_19335 / leh:C3F35_19345","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_03530+leh:C3F35_03535+leh:C3F35_03540+leh:C3F35_19335+leh:C3F35_19345",NA,"rn:R00866 rn:R03232",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1437","140","leh:C3F35_12205","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12205",NA,"rn:R03014",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1438","141","leh:C3F35_12200","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_12200",NA,"rn:R02437",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1439","148","leh:C3F35_22470","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_22470",NA,"rn:R01446",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1440","167","leh:C3F35_11540","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_11540",NA,"rn:R03033",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1441","168","leh:C3F35_18260","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_18260",NA,"rn:R00216",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1442","171","leh:C3F35_10170 / leh:C3F35_15835 / leh:C3F35_19615","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_10170+leh:C3F35_15835+leh:C3F35_19615",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1443","174","leh:C3F35_19505 / leh:C3F35_22260","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_19505+leh:C3F35_22260",NA,"rn:R00704",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1444","175","leh:C3F35_03680","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_03680",NA,"rn:R01016",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1445","220","leh:C3F35_16460 / leh:C3F35_16465","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_16460+leh:C3F35_16465",NA,"rn:R00858 rn:R00859 rn:R00861 rn:R10146",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1446","239","leh:C3F35_03450 / leh:C3F35_03455 / leh:C3F35_03460","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_03450+leh:C3F35_03455+leh:C3F35_03460",NA,"rn:R07177 rn:R10150",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1447","242","leh:C3F35_03525","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_03525",NA,"rn:R09031",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1448","246","leh:C3F35_08180 / leh:C3F35_09635","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_08180+leh:C3F35_09635",NA,"rn:R05850",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1449","247","leh:C3F35_09640","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09640",NA,"rn:R03244",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1450","248","leh:C3F35_09645","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09645",NA,"rn:R07125",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1451","249","leh:C3F35_09665","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_09665",NA,"rn:R07677",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1452","250","leh:C3F35_03510 / leh:C3F35_03515 / leh:C3F35_03520 / leh:C3F35_09650 / leh:C3F35_09655 / leh:C3F35_09660","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_03510+leh:C3F35_03515+leh:C3F35_03520+leh:C3F35_09650+leh:C3F35_09655+leh:C3F35_09660",NA,"rn:R07671",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1453","274","leh:C3F35_15220 / leh:C3F35_15225 / leh:C3F35_15230","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_15220+leh:C3F35_15225+leh:C3F35_15230",NA,"rn:R00131",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01120"
"entry1454","277","leh:C3F35_22355","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_22355",NA,"rn:R02539",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1455","278","leh:C3F35_22305 / leh:C3F35_22310 / leh:C3F35_22315 / leh:C3F35_22320 / leh:C3F35_22325","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_22305+leh:C3F35_22310+leh:C3F35_22315+leh:C3F35_22320+leh:C3F35_22325",NA,"rn:R09838",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1456","279","leh:C3F35_22335","gene","http://www.kegg.jp/dbget-bin/www_bget?leh:C3F35_22335",NA,"rn:R09837",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
