"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1483","17","cgj:AR0_02970","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02970",NA,"rn:R02274",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1484","18","cgj:AR0_00530 / cgj:AR0_02975 / cgj:AR0_13155","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_00530+cgj:AR0_02975+cgj:AR0_13155",NA,"rn:R02401",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1485","23","cgj:AR0_09810","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09810",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1486","46","cgj:AR0_01475 / cgj:AR0_06945","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01475+cgj:AR0_06945",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1487","47","cgj:AR0_02635","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02635",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1488","48","cgj:AR0_02735","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02735",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1489","49","cgj:AR0_02705","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02705",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1490","50","cgj:AR0_02640","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02640",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1491","51","cgj:AR0_02695","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02695",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1492","52","cgj:AR0_02695","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02695",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1493","83","cgj:AR0_02970","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02970",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1494","111","cgj:AR0_01740","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01740",NA,"rn:R02488",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1495","138","cgj:AR0_13420","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13420",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1496","139","cgj:AR0_09125","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09125",NA,"rn:R00866 rn:R03232",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1497","171","cgj:AR0_13420","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13420",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1498","174","cgj:AR0_05065","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_05065",NA,"rn:R00704",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1499","220","cgj:AR0_13625","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13625",NA,"rn:R00858 rn:R00859 rn:R00861 rn:R10146",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1500","241","cgj:AR0_11610","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11610",NA,"rn:R09030",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1501","250","cgj:AR0_14705","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_14705",NA,"rn:R07671",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1502","261","cgj:AR0_06585","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_06585",NA,"rn:R09979",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1503","265","cgj:AR0_01080","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01080",NA,"rn:R05661",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1504","266","cgj:AR0_01095","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01095",NA,"rn:R08503",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1505","267","cgj:AR0_01100","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01100",NA,"rn:R08603",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1506","268","cgj:AR0_01105","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01105",NA,"rn:R02782",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1507","269","cgj:AR0_01110 / cgj:AR0_10020 / cgj:AR0_14830 / cgj:AR0_14835","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01110+cgj:AR0_10020+cgj:AR0_14830+cgj:AR0_14835",NA,"rn:R01183",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1508","272","cgj:AR0_01110 / cgj:AR0_10020 / cgj:AR0_14830 / cgj:AR0_14835","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_01110+cgj:AR0_10020+cgj:AR0_14830+cgj:AR0_14835",NA,"rn:R09951",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1509","274","cgj:AR0_00720 / cgj:AR0_00725 / cgj:AR0_00730","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_00720+cgj:AR0_00725+cgj:AR0_00730",NA,"rn:R00131",NA,NA,NA,"line",NA,NA,"#FF8080","#FFFFFF",0,"01120"
"entry1510","277","cgj:AR0_03275","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03275",NA,"rn:R02539",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1511","278","cgj:AR0_03290 / cgj:AR0_03295 / cgj:AR0_03300 / cgj:AR0_03305 / cgj:AR0_03310","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03290+cgj:AR0_03295+cgj:AR0_03300+cgj:AR0_03305+cgj:AR0_03310",NA,"rn:R09838",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1512","280","cgj:AR0_03340","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03340",NA,"rn:R09836",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1513","281","cgj:AR0_03340","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03340",NA,"rn:R09820",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1514","288","cgj:AR0_12300","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_12300",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1515","303","cgj:AR0_06325 / cgj:AR0_11455","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_06325+cgj:AR0_11455",NA,"rn:R00238",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1516","307","cgj:AR0_14655","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_14655",NA,"rn:R02589",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1517","312","cgj:AR0_08185 / cgj:AR0_08190","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08185+cgj:AR0_08190",NA,"rn:R00833",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1518","315","cgj:AR0_06585","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_06585",NA,"rn:R02765",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1519","316","cgj:AR0_11150","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11150",NA,"rn:R00472",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1520","326","cgj:AR0_11395","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11395",NA,"rn:R07136 rn:R07137",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1521","344","cgj:AR0_08430","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08430",NA,"rn:R00345",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1522","352","cgj:AR0_05595 / cgj:AR0_06750","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_05595+cgj:AR0_06750",NA,"rn:R00762 rn:R00756 rn:R05805",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1523","356","cgj:AR0_08385","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08385",NA,"rn:R01067",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1524","358","cgj:AR0_13420","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13420",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1525","376","cgj:AR0_14630","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_14630",NA,"rn:R03868",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1526","378","cgj:AR0_00530 / cgj:AR0_02975 / cgj:AR0_13155","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_00530+cgj:AR0_02975+cgj:AR0_13155",NA,"rn:R00713 rn:R00714",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1527","379","cgj:AR0_14635","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_14635",NA,"rn:R01085",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1528","393","cgj:AR0_11500","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11500",NA,"rn:R05390",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1529","415","cgj:AR0_03360 / cgj:AR0_13135","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03360+cgj:AR0_13135",NA,"rn:R06782",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1530","418","cgj:AR0_03360 / cgj:AR0_13135","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03360+cgj:AR0_13135",NA,"rn:R06783",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1531","432","cgj:AR0_11525","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11525",NA,"rn:R08113",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1532","479","cgj:AR0_09850","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09850",NA,"rn:R07795",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1533","488","cgj:AR0_11500","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11500",NA,"rn:R09229",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1534","498","cgj:AR0_09850","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09850",NA,"rn:R05406",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1535","515","cgj:AR0_02180 / cgj:AR0_12305","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_02180+cgj:AR0_12305",NA,"rn:R00586",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1536","521","cgj:AR0_11505","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11505",NA,"rn:R08114",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1537","522","cgj:AR0_11525","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11525",NA,"rn:R08111",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1538","523","cgj:AR0_11510 / cgj:AR0_11515 / cgj:AR0_11520","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11510+cgj:AR0_11515+cgj:AR0_11520",NA,"rn:R08108",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1539","532","cgj:AR0_08385","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08385",NA,"rn:R01830",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1540","534","cgj:AR0_04820","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_04820",NA,"rn:R03321",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1541","535","cgj:AR0_05400","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_05400",NA,"rn:R00658",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1542","536","cgj:AR0_03375 / cgj:AR0_03380 / cgj:AR0_09855 / cgj:AR0_14135","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03375+cgj:AR0_03380+cgj:AR0_09855+cgj:AR0_14135",NA,"rn:R00199 rn:R00200 rn:R00206",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1543","537","cgj:AR0_04820","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_04820",NA,"rn:R02740",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1544","538","cgj:AR0_05595 / cgj:AR0_06750","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_05595+cgj:AR0_06750",NA,"rn:R02073 rn:R04779 rn:R04780 rn:R09084",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1545","539","cgj:AR0_13420","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13420",NA,"rn:R01070",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1546","541","cgj:AR0_09445 / cgj:AR0_11395","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09445+cgj:AR0_11395",NA,"rn:R00342 rn:R00361",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1547","542","cgj:AR0_08435","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08435",NA,"rn:R01015",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1548","543","cgj:AR0_08390","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08390",NA,"rn:R01827",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1549","545","cgj:AR0_08385","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08385",NA,"rn:R01641",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1550","547","cgj:AR0_11610","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11610",NA,"rn:R01056",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1551","548","cgj:AR0_08495","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08495",NA,"rn:R01529",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1552","549","cgj:AR0_08395","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08395",NA,"rn:R02736 rn:R10907",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1553","550","cgj:AR0_08405","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08405",NA,"rn:R02035",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1554","551","cgj:AR0_07795","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_07795",NA,"rn:R01528 rn:R10221",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1555","554","cgj:AR0_11955 / cgj:AR0_14570","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11955+cgj:AR0_14570",NA,"rn:R01737",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1556","560","cgj:AR0_08990 / cgj:AR0_10385 / cgj:AR0_12845","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08990+cgj:AR0_10385+cgj:AR0_12845",NA,"rn:R01600 rn:R02187 rn:R09086",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1557","562","cgj:AR0_04820 / cgj:AR0_11145","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_04820+cgj:AR0_11145",NA,"rn:R02739",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1558","563","cgj:AR0_08990 / cgj:AR0_10385 / cgj:AR0_12845","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_08990+cgj:AR0_10385+cgj:AR0_12845",NA,"rn:R01786 rn:R02189 rn:R09085",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1559","567","cgj:AR0_12200","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_12200",NA,"rn:R00959",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1560","571","cgj:AR0_09850","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09850",NA,"rn:R00816",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1561","572","cgj:AR0_11505","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11505",NA,"rn:R00817",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1562","573","cgj:AR0_11495","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11495",NA,"rn:R06990",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1563","574","cgj:AR0_11460","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11460",NA,"rn:R02991",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1564","576","cgj:AR0_14800","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_14800",NA,"rn:R04061",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1565","578","cgj:AR0_11510 / cgj:AR0_11515 / cgj:AR0_11520","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11510+cgj:AR0_11515+cgj:AR0_11520",NA,"rn:R05621 rn:R05622",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1566","579","cgj:AR0_11525","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11525",NA,"rn:R00813",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1567","589","cgj:AR0_03330","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_03330",NA,"rn:R01975 rn:R01976",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1568","590","cgj:AR0_11500","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11500",NA,"rn:R06989",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1569","612","cgj:AR0_11480 / cgj:AR0_11485","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11480+cgj:AR0_11485",NA,"rn:R01631",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1570","613","cgj:AR0_09660 / cgj:AR0_11475","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_09660+cgj:AR0_11475",NA,"rn:R03307",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1571","614","cgj:AR0_05745 / cgj:AR0_11470","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_05745+cgj:AR0_11470",NA,"rn:R03470",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1572","675","cgj:AR0_11155","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11155",NA,"rn:R00479",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1573","695","cgj:AR0_12945","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_12945",NA,"rn:R05238",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1574","696","cgj:AR0_13585","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13585",NA,"rn:R05234",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1575","699","cgj:AR0_12945","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_12945",NA,"rn:R05237",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1576","700","cgj:AR0_13585","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_13585",NA,"rn:R05233",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1577","710","cgj:AR0_11510 / cgj:AR0_11515 / cgj:AR0_11520","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11510+cgj:AR0_11515+cgj:AR0_11520",NA,"rn:R05428",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1578","711","cgj:AR0_11525","gene","http://www.kegg.jp/dbget-bin/www_bget?cgj:AR0_11525",NA,"rn:R05314",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
