"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1332","15","spun:BFF78_15700","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_15700",NA,"rn:R12214",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1333","17","spun:BFF78_12725","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_12725",NA,"rn:R02274",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1334","18","spun:BFF78_17105 / spun:BFF78_35610","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_17105+spun:BFF78_35610",NA,"rn:R02401",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1335","20","spun:BFF78_22510","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_22510",NA,"rn:R12217",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1336","21","spun:BFF78_34345","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_34345",NA,"rn:R00449",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1337","22","spun:BFF78_34340","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_34340",NA,"rn:R02273",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1338","23","spun:BFF78_06360 / spun:BFF78_25495","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_06360+spun:BFF78_25495",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1339","46","spun:BFF78_13330 / spun:BFF78_36200","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_13330+spun:BFF78_36200",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1340","47","spun:BFF78_18750","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18750",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1341","48","spun:BFF78_18470 / spun:BFF78_39690","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18470+spun:BFF78_39690",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1342","49","spun:BFF78_18700","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18700",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1343","50","spun:BFF78_18745 / spun:BFF78_39520","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18745+spun:BFF78_39520",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1344","51","spun:BFF78_18740","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18740",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1345","52","spun:BFF78_18740 / spun:BFF78_33800","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_18740+spun:BFF78_33800",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1346","53","spun:BFF78_33800","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_33800",NA,"rn:R03947",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1347","58","spun:BFF78_09060 / spun:BFF78_11115","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_09060+spun:BFF78_11115",NA,"rn:R01171 rn:R01175 rn:R09738",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1348","66","spun:BFF78_04500 / spun:BFF78_17100 / spun:BFF78_30505","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_04500+spun:BFF78_17100+spun:BFF78_30505",NA,"rn:R01459 rn:R09920",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1349","67","spun:BFF78_29375","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_29375",NA,"rn:R11357",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1350","83","spun:BFF78_09235 / spun:BFF78_12725","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_09235+spun:BFF78_12725",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1351","90","spun:BFF78_19190","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_19190",NA,"rn:R00261",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1352","109","spun:BFF78_24005","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_24005",NA,"rn:R10769",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1353","111","spun:BFF78_32680","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_32680",NA,"rn:R02488",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1354","129","spun:BFF78_23750 / spun:BFF78_23940","gene","http://www.kegg.jp/dbget-bin/www_bget?spun:BFF78_23750+spun:BFF78_23940",NA,"rn:R01712 rn:R05839 rn:R01713 rn:R01710",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
