"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1483","18","plum:A4R40_04920","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_04920",NA,"rn:R02401",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1484","23","plum:A4R40_00615","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_00615",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1485","46","plum:A4R40_07010","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_07010",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1486","47","plum:A4R40_10370","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_10370",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1487","48","plum:A4R40_04505","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_04505",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1488","49","plum:A4R40_21865","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_21865",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1489","50","plum:A4R40_23015","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_23015",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1490","51","plum:A4R40_23020","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_23020",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1491","52","plum:A4R40_03540 / plum:A4R40_14835 / plum:A4R40_23025","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_03540+plum:A4R40_14835+plum:A4R40_23025",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1492","53","plum:A4R40_03540","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_03540",NA,"rn:R03947",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1493","59","plum:A4R40_12425","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_12425",NA,"rn:R01172",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1494","83","plum:A4R40_11715","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_11715",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1495","129","plum:A4R40_12910","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_12910",NA,"rn:R01712 rn:R05839 rn:R01713 rn:R01710",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1496","130","plum:A4R40_12910","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_12910",NA,"rn:R01708 rn:R01711",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1497","134","plum:A4R40_04995 / plum:A4R40_05000","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_04995+plum:A4R40_05000",NA,"rn:R07709 rn:R07710",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1498","138","plum:A4R40_04780 / plum:A4R40_13865","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_04780+plum:A4R40_13865",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1499","139","plum:A4R40_09965 / plum:A4R40_09970","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_09965+plum:A4R40_09970",NA,"rn:R00866 rn:R03232",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1500","168","plum:A4R40_13540","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_13540",NA,"rn:R00216",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1501","171","plum:A4R40_04780 / plum:A4R40_13865","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_04780+plum:A4R40_13865",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1502","174","plum:A4R40_10755 / plum:A4R40_14200","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_10755+plum:A4R40_14200",NA,"rn:R00704",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1503","175","plum:A4R40_08955","gene","http://www.kegg.jp/dbget-bin/www_bget?plum:A4R40_08955",NA,"rn:R01016",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
