"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1546","23","ttr:Tter_0805","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0805",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1547","46","ttr:Tter_0077","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0077",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1548","47","ttr:Tter_0286","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0286",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1549","48","ttr:Tter_0285 / ttr:Tter_0352","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0285+ttr:Tter_0352",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1550","49","ttr:Tter_1340","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_1340",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1551","50","ttr:Tter_1342","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_1342",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1552","51","ttr:Tter_1341","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_1341",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1553","52","ttr:Tter_0581","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0581",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1554","129","ttr:Tter_0835","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0835",NA,"rn:R01712 rn:R05839 rn:R01713 rn:R01710",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1555","130","ttr:Tter_0835","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0835",NA,"rn:R01708 rn:R01711",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1556","138","ttr:Tter_2456","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_2456",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1557","140","ttr:Tter_2252","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_2252",NA,"rn:R03014",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1558","141","ttr:Tter_2253","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_2253",NA,"rn:R02437",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1559","147","ttr:Tter_0267","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0267",NA,"rn:R03688",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1560","152","ttr:Tter_0272","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_0272",NA,"rn:R08926",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1561","167","ttr:Tter_1664","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_1664",NA,"rn:R03033",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1562","171","ttr:Tter_2456","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_2456",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1563","181","ttr:Tter_2396","gene","http://www.kegg.jp/dbget-bin/www_bget?ttr:Tter_2396",NA,"rn:R03751",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
