"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1578","23","str:Sterm_0271","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_0271",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1579","46","str:Sterm_3355","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_3355",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1580","47","str:Sterm_1021","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1021",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1581","48","str:Sterm_1024","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1024",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1582","49","str:Sterm_1027","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1027",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1583","50","str:Sterm_1022","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1022",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1584","51","str:Sterm_1023","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1023",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1585","52","str:Sterm_1023","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1023",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1586","53","str:Sterm_2300","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_2300",NA,"rn:R03947",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1587","58","str:Sterm_2744","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_2744",NA,"rn:R01171 rn:R01175 rn:R09738",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1588","59","str:Sterm_1518","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1518",NA,"rn:R01172",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1589","60","str:Sterm_2537","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_2537",NA,"rn:R03544 rn:R03545",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1590","83","str:Sterm_3420","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_3420",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1591","135","str:Sterm_3785","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_3785",NA,"rn:R02263",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1592","138","str:Sterm_0504 / str:Sterm_0657 / str:Sterm_2033 / str:Sterm_2749 / str:Sterm_2750 / str:Sterm_4019","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_0504+str:Sterm_0657+str:Sterm_2033+str:Sterm_2749+str:Sterm_2750+str:Sterm_4019",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1593","139","str:Sterm_1457 / str:Sterm_1966 / str:Sterm_2751 / str:Sterm_2752 / str:Sterm_2753 / str:Sterm_3241 / str:Sterm_3242 / str:Sterm_3243 / str:Sterm_3406 / str:Sterm_3758","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_1457+str:Sterm_1966+str:Sterm_2751+str:Sterm_2752+str:Sterm_2753+str:Sterm_3241+str:Sterm_3242+str:Sterm_3243+str:Sterm_3406+str:Sterm_3758",NA,"rn:R00866 rn:R03232",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1594","140","str:Sterm_3788","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_3788",NA,"rn:R03014",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1595","141","str:Sterm_3787","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_3787",NA,"rn:R02437",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1596","154","str:Sterm_0040 / str:Sterm_3550","gene","http://www.kegg.jp/dbget-bin/www_bget?str:Sterm_0040+str:Sterm_3550",NA,"rn:R02262",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
