"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1582","23","mox:DAMO_2187","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_2187",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1583","46","mox:DAMO_1550","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1550",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1584","47","mox:DAMO_1079","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1079",NA,"rn:R04109",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1585","48","mox:DAMO_2715 / mox:DAMO_3173","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_2715+mox:DAMO_3173",NA,"rn:R02272",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1586","49","mox:DAMO_2716","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_2716",NA,"rn:R00036",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1587","50","mox:DAMO_1080","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1080",NA,"rn:R00084",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1588","51","mox:DAMO_1081","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1081",NA,"rn:R03165",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1589","52","mox:DAMO_1081","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1081",NA,"rn:R03194",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1590","138","mox:DAMO_0175","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_0175",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1591","139","mox:DAMO_2523","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_2523",NA,"rn:R00866 rn:R03232",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1592","171","mox:DAMO_0175","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_0175",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1593","222","mox:DAMO_1665","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1665",NA,"rn:R10151",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1594","239","mox:DAMO_0620 / mox:DAMO_1987","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_0620+mox:DAMO_1987",NA,"rn:R07177 rn:R10150",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1595","261","mox:DAMO_1220","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_1220",NA,"rn:R09979",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1596","273","mox:DAMO_2473","gene","http://www.kegg.jp/dbget-bin/www_bget?mox:DAMO_2473",NA,"rn:R10164",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
