"","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"entry1710","23","tgg:A3K92_01595","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_01595",NA,"rn:R00243 rn:R00248",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1711","46","tgg:A3K92_01210","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_01210",NA,"rn:R05578",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1712","83","tgg:A3K92_05385 / tgg:A3K92_08800","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05385+tgg:A3K92_08800",NA,"rn:R01648 rn:R10178",NA,NA,NA,"line",NA,NA,"#FFCC66","#FFFFFF",0,"01120"
"entry1713","138","tgg:A3K92_05130 / tgg:A3K92_09140","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05130+tgg:A3K92_09140",NA,"rn:R02568",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1714","154","tgg:A3K92_08405","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_08405",NA,"rn:R02262",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1716","161","tgg:A3K92_01750","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_01750",NA,"rn:R05339",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1717","162","tgg:A3K92_01750","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_01750",NA,"rn:R09780",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1718","171","tgg:A3K92_05130","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05130",NA,"rn:R01829",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1719","243","tgg:A3K92_01750","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_01750",NA,"rn:R05338",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1720","261","tgg:A3K92_00935","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_00935",NA,"rn:R09979",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1721","288","tgg:A3K92_03050","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_03050",NA,"rn:R00897",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1722","303","tgg:A3K92_07115","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_07115",NA,"rn:R00238",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1723","304","tgg:A3K92_07955 / tgg:A3K92_07975 / tgg:A3K92_07980 / tgg:A3K92_07985","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_07955+tgg:A3K92_07975+tgg:A3K92_07980+tgg:A3K92_07985",NA,"rn:R01196 rn:R10866",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1724","312","tgg:A3K92_00945 / tgg:A3K92_01525","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_00945+tgg:A3K92_01525",NA,"rn:R00833",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1725","315","tgg:A3K92_00935","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_00935",NA,"rn:R02765",NA,NA,NA,"line",NA,NA,"#B3B3E6","#FFFFFF",0,"01120"
"entry1726","348","tgg:A3K92_07015","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_07015",NA,"rn:R00024",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1727","352","tgg:A3K92_05080 / tgg:A3K92_05775 / tgg:A3K92_09140","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05080+tgg:A3K92_05775+tgg:A3K92_09140",NA,"rn:R00762 rn:R00756 rn:R05805",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1728","358","tgg:A3K92_05130 / tgg:A3K92_09140","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05130+tgg:A3K92_09140",NA,"rn:R01068",NA,NA,NA,"line",NA,NA,"#CC99FF","#FFFFFF",0,"01120"
"entry1729","414","tgg:A3K92_05090","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05090",NA,"rn:R01087",NA,NA,NA,"line",NA,NA,"#FFB3CC","#FFFFFF",0,"01120"
"entry1731","472","tgg:A3K92_07415","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_07415",NA,"rn:R03024",NA,NA,NA,"line",NA,NA,"#DA8E82","#FFFFFF",0,"01120"
"entry1732","534","tgg:A3K92_05840","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05840",NA,"rn:R03321",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1733","535","tgg:A3K92_00880 / tgg:A3K92_08445","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_00880+tgg:A3K92_08445",NA,"rn:R00658",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1734","536","tgg:A3K92_02730 / tgg:A3K92_02845","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_02730+tgg:A3K92_02845",NA,"rn:R00199 rn:R00200 rn:R00206",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1735","537","tgg:A3K92_05840","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05840",NA,"rn:R02740",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
"entry1736","538","tgg:A3K92_05080 / tgg:A3K92_05775 / tgg:A3K92_09140","gene","http://www.kegg.jp/dbget-bin/www_bget?tgg:A3K92_05080+tgg:A3K92_05775+tgg:A3K92_09140",NA,"rn:R02073 rn:R04779 rn:R04780 rn:R09084",NA,NA,NA,"line",NA,NA,"#8080F7","#FFFFFF",0,"01120"
