"","node1","node2","org","pathway"
"5","ec:5.4.2.9","ec:4.1.1.82","ec","00440"
"6","ec:5.4.2.9","ec:3.11.1.3","ec","00440"
"7","ec:4.1.1.82","ec:3.11.1.1","ec","00440"
"8","ec:4.1.1.82","ec:2.6.1.37","ec","00440"
"9","ec:4.1.1.82","ec:1.1.1.309","ec","00440"
"10","ec:3.11.1.1","ec:2.6.1.37","ec","00440"
"11","ec:3.11.1.1","ec:1.1.1.309","ec","00440"
"12","ec:2.1.1.308","ec:1.11.1.23","ec","00440"
"13","ec:2.1.1.308","ec:1.13.11.72","ec","00440"
"14","ec:2.7.7.15","ec:2.7.8.2","ec","00440"
"15","ec:2.7.8.23","ec:2.3.3.18","ec","00440"
"16","ec:2.3.3.18","ec:4.2.1.166","ec","00440"
"17","ec:2.3.1.183","ec:2.1.1.326","ec","00440"
"18","ec:1.1.1.309","ec:2.1.1.308","ec","00440"
"19","ec:1.1.1.309","ec:1.13.11.72","ec","00440"
"20","ec:1.1.1.309","ec:1.13.11.73","ec","00440"
"21","ec:1.14.11.46","ec:2.7.7.14","ec","00440"
"22","ec:1.14.11.46","ec:1.13.11.78","ec","00440"
"23","ec:2.6.1.37","ec:1.1.1.309","ec","00440"
"24","ec:2.6.1.37","ec:1.14.11.46","ec","00440"
"25","ec:2.6.1.37","ec:2.7.7.14","ec","00440"
"26","ec:1.13.11.72","ec:1.13.11.73","ec","00440"
"27","ec:2.7.7.14","ec:2.7.8.1","ec","00440"
"28","ec:1.13.11.73","ec:2.7.8.37","ec","00440"
"29","ec:1.13.11.73","ec:2.1.1.308","ec","00440"
"30","ec:2.7.8.37","ec:3.6.1.63","ec","00440"
"31","ec:3.6.1.63","ec:4.7.1.1","ec","00440"
"32","ec:4.7.1.1","ec:3.1.4.55","ec","00440"
"33","ec:4.7.1.1","ec:3.1.4.57","ec","00440"
"34","ec:3.11.1.3","ec:4.1.1.82","ec","00440"
"38","ec:2.3.1.280","ec:2.6.1.37","ec","00440"
"39","ec:2.3.1.280","ec:1.14.11.46","ec","00440"
"40","ec:2.3.1.280","ec:2.7.7.14","ec","00440"
"41","ec:2.3.3.19","ec:5.4.2.9","ec","00440"
"42","ec:2.3.3.19","ec:3.11.1.3","ec","00440"
"43","ec:2.3.3.19","ec:4.1.1.82","ec","00440"
