"entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"19",NA,"gene",NA,226,923,"rectangle",46,17,"#BFFFBF","mmu:24088",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00127064803049555,1,1.86682914189012e-17,8,6,16,2,0,0.816496580927726,"NHNB"
"20",NA,"gene",NA,226,983,"rectangle",46,17,"#BFFFBF","mmu:18033 / mmu:19697",NA,NA,"mmu","05321",0,1,0.0963613937711995,4,0,0,0.00124223602484472,1,0.670937184942145,7,6,16,9,1,0,"HNB"
"26",NA,"gene",NA,268,955,"rectangle",46,17,"#BFFFBF","mmu:257632",NA,NA,"mmu","05321",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"38",NA,"gene",NA,458,261,"rectangle",46,17,"#BFFFBF","mmu:53791",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00127064803049555,1,1.86682914189012e-17,8,6,16,2,0,0.816496580927726,"NHNB"
"40",NA,"gene",NA,508,261,"rectangle",46,17,"#BFFFBF","mmu:24088",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00127064803049555,1,1.86682914189012e-17,8,6,16,2,0,0.816496580927726,"NHNB"
"46",NA,"gene",NA,508,330,"rectangle",46,17,"#BFFFBF","mmu:18033 / mmu:19697",NA,NA,"mmu","05321",0,1,0.0963613937711995,4,0,0,0.00124223602484472,1,0.670937184942145,7,6,16,9,1,0,"HNB"
"48",NA,"gene",NA,573,376,"rectangle",46,17,"#BFFFBF","mmu:21926",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,9,0.656749053429076,8,6,16,2,1.4022806093549e-16,0,"NHNB"
"59",NA,"gene",NA,546,1081,"rectangle",46,17,"#BFFFBF","mmu:83430",NA,NA,"mmu","05321",0,1,0,2,0,0,0.00126103404791929,2,1.86682914189012e-17,7,6,16,2,0,0,"NHNB"
"61",NA,"gene",NA,546,945,"rectangle",46,17,"#BFFFBF","mmu:21803 / mmu:21808 / mmu:21809",NA,NA,"mmu","05321",0,1,0,3,0,0,0.000517063081695967,3,1.86682914189012e-17,10,6,16,3,0,0,"NHNB"
"62",NA,"gene",NA,546,968,"rectangle",46,17,"#BFFFBF","mmu:16193",NA,NA,"mmu","05321",0,1,0,1,0,0,0.000542005420054201,4,1.86682914189012e-17,8,6,16,1,0,0,"NHNB"
"67",NA,"gene",NA,299,1026,"rectangle",46,17,"#BFFFBF","mmu:100504404 / mmu:14960 / mmu:14961 / mmu:14969 / mmu:14998 / mmu:14999 / mmu:15000 / mmu:15001 / mmu:15002",NA,NA,"mmu","05321",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"70",NA,"gene",NA,546,668,"rectangle",46,17,"#BFFFBF","mmu:16159 / mmu:16160",NA,NA,"mmu","05321",0,1,0.0612858464384829,2,0,0,0.00119760479041916,2,0.656749053429076,6,6,16,4,6.77588245357494e-17,0,"NHNB"
"71",NA,"gene",NA,546,585,"rectangle",46,17,"#BFFFBF","mmu:15978",NA,NA,"mmu","05321",0,1,0.17113783533765,2,0,0,0.00112359550561798,2,1,8,6,16,6,1.16830900898998e-16,1.3877561480028e-16,"HNB"
"89",NA,"gene",NA,636,680,"rectangle",46,17,"#BFFFBF","mmu:16161",NA,NA,"mmu","05321",1,1,0.131128584643848,4,0,0,0.00123609394313968,2,0.642860954587248,6,6,16,7,2.67298980291187e-16,0,"HB"
"92",NA,"gene",NA,813,668,"rectangle",46,17,"#BFFFBF","mmu:20849",NA,NA,"mmu","05321",1,1,0.0120259019426457,1,0,0,0.000452693526482571,5,0.685431830906633,6,6,16,3,2.7111274778473e-16,0,"NHB"
"94",NA,"gene",NA,636,585,"rectangle",46,17,"#BFFFBF","mmu:15979 / mmu:15980",NA,NA,"mmu","05321",0,1,0.0816373728029602,1,0,0,0.00114942528735632,6,0.48942663200707,9,6,16,2,4.90720763632483e-17,5.23098143551836e-17,"NHNB"
"96","ec:2.3.1.37","gene",NA,725,585,"rectangle",46,17,"#BFFFBF","mmu:20846",1534,NA,"mmu","05321",0,1,0.182238667900092,1,0,0,0.00118623962040332,6,0.479076856235567,9,6,16,3,2.80301222587516e-17,0,"NHNB"
"98",NA,"gene",NA,884,585,"rectangle",46,17,"#BFFFBF","mmu:57765",NA,NA,"mmu","05321",0,1,0.185938945420907,3,0,0,0.00122549019607843,2,0.234472972219908,8,6,16,4,0,0,"NHNB"
"100",NA,"gene",NA,990,761,"rectangle",46,17,"#BFFFBF","mmu:15978",NA,NA,"mmu","05321",0,1,0.17113783533765,2,0,0,0.00112359550561798,2,1,8,6,16,6,1.16830900898998e-16,1.3877561480028e-16,"HNB"
"117",NA,"gene",NA,546,1323,"rectangle",46,17,"#BFFFBF","mmu:16189",NA,NA,"mmu","05321",1,1,0.0869565217391304,2,0,0,0.0010351966873706,2,0.129633736946662,9,6,16,6,1.77601557280492e-16,1.3877561480028e-16,"HB"
"119",NA,"gene",NA,636,1312,"rectangle",46,17,"#BFFFBF","mmu:16190",NA,NA,"mmu","05321",0,1,0.0395467160037003,1,0,0,0.00106382978723404,7,0.0634462032682952,10,6,16,2,4.90720763632483e-17,5.23098143551836e-17,"NHNB"
"121",NA,"gene",NA,725,1324,"rectangle",46,17,"#BFFFBF","mmu:20852",NA,NA,"mmu","05321",1,1,0.0980573543015726,2,0,0,0.0010989010989011,7,0.0621045231584752,10,6,16,4,9.81441527264966e-17,1.04619628710367e-16,"NHB"
"123",NA,"gene",NA,884,1324,"rectangle",46,17,"#BFFFBF","mmu:14462",NA,NA,"mmu","05321",1,1,0.089731729879741,4,0,0,0.00113122171945701,2,0.0303956076018576,9,6,16,5,0,0,"NHB"
"125",NA,"gene",NA,1064,1312,"rectangle",46,17,"#BFFFBF","mmu:16189",NA,NA,"mmu","05321",1,1,0.0869565217391304,2,0,0,0.0010351966873706,2,0.129633736946662,9,6,16,6,1.77601557280492e-16,1.3877561480028e-16,"HB"
"126",NA,"gene",NA,884,1284,"rectangle",46,17,"#BFFFBF","mmu:18018",NA,NA,"mmu","05321",0,1,0,1,0,0,0.00105042016806723,2,1.86682914189012e-17,10,6,16,1,0,0,"NHNB"
"127",NA,"gene",NA,884,1259,"rectangle",46,17,"#BFFFBF","mmu:17132",NA,NA,"mmu","05321",0,1,0,1,0,0,0.00105042016806723,2,1.86682914189012e-17,10,6,16,1,0,0,"NHNB"
"131",NA,"gene",NA,1332,741,"rectangle",46,17,"#BFFFBF","mmu:21926",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,9,0.656749053429076,8,6,16,2,1.4022806093549e-16,0,"NHNB"
"133",NA,"gene",NA,1332,761,"rectangle",46,17,"#BFFFBF","mmu:16193",NA,NA,"mmu","05321",0,1,0,1,0,0,0.000542005420054201,4,1.86682914189012e-17,8,6,16,1,0,0,"NHNB"
"134",NA,"gene",NA,1332,781,"rectangle",46,17,"#BFFFBF","mmu:16175 / mmu:16176",NA,NA,"mmu","05321",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"139",NA,"gene",NA,884,1497,"rectangle",46,17,"#BFFFBF","mmu:16163",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,2,0.0148764198563856,10,6,16,1,9.29030266108055e-17,0,"NHNB"
"142",NA,"gene",NA,884,1582,"rectangle",46,17,"#BFFFBF","mmu:16153",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,11,0.0303956076018576,11,6,16,1,6.25176984200582e-17,0,"NHNB"
"143",NA,"gene",NA,884,1605,"rectangle",46,17,"#BFFFBF","mmu:21803 / mmu:21808 / mmu:21809",NA,NA,"mmu","05321",0,1,0,3,0,0,0.000517063081695967,3,1.86682914189012e-17,10,6,16,3,0,0,"NHNB"
"145",NA,"gene",NA,1064,1336,"rectangle",46,17,"#BFFFBF","mmu:16191",NA,NA,"mmu","05321",0,1,0,0,0,0,0.000443262411347518,2,0.129633736946662,9,6,16,2,2.00998717316985e-16,0,"NHNB"
