"entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification"
"60","ec:2.8.3.5","gene","rn:R00410",504,659,"rectangle",46,17,"#BFFFBF","mtv:RVBD_2503c / mtv:RVBD_2504c",4307,"reversible","mtv","00650",0,1,0,13,32,0.41025641025641,0.000750187546886722,1,1.11153287323613e-16,3,2,4,13,7.57488571797426e-17,0.164014218702445,"NHNB"
"64","ec:2.3.1.9","gene","rn:R00238",830,589,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0243 / mtv:RVBD_0859 / mtv:RVBD_0914c / mtv:RVBD_1074c / mtv:RVBD_1135A / mtv:RVBD_1323 / mtv:RVBD_1867 / mtv:RVBD_3523 / mtv:RVBD_3546 / mtv:RVBD_3556c",4311,"reversible","mtv","00650",0,1,0.00548245614035088,3,8,0.380952380952381,0.000525486074619023,1,3.06831359897763e-16,2,2,4,7,0.106207129892158,0.0988208623293974,"NHNB"
"65","ec:1.1.1.157","gene","rn:R01976",690,532,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0468 / mtv:RVBD_1715",4312,"reversible","mtv","00650",0,1,0.0436507936507936,23,54,0.0907563025210084,0.00050125313283208,3,0,3,2,4,35,0.304950131836769,1,"NHNB"
"66","ec:1.1.1.35","gene","rn:R01975",640,532,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0860",4313,"reversible","mtv","00650",0,1,0.0436507936507936,23,88,0.13968253968254,0.000487329434697856,3,1,3,2,4,38,1,1,"HNB"
"68","ec:5.1.2.3","gene","rn:R03276",613,479,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0860",4315,"reversible","mtv","00650",0,1,0.0436507936507936,23,88,0.13968253968254,0.000487329434697856,3,1,3,2,4,38,1,1,"HNB"
"71","ec:4.2.1.17","gene","rn:R03026",666,442,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0222 / mtv:RVBD_0456c / mtv:RVBD_0632c / mtv:RVBD_0673 / mtv:RVBD_0675 / mtv:RVBD_0860 / mtv:RVBD_0905 / mtv:RVBD_0971c / mtv:RVBD_1070c / mtv:RVBD_1071c / mtv:RVBD_1141c / mtv:RVBD_1142c / mtv:RVBD_1472 / mtv:RVBD_1935c / mtv:RVBD_2486 / mtv:RVBD_2679 / mtv:RVBD_2831 / mtv:RVBD_3039c / mtv:RVBD_3373 / mtv:RVBD_3374 / mtv:RVBD_3516 / mtv:RVBD_3550 / mtv:RVBD_3774",4317,"reversible","mtv","00650",0,1,0.0436507936507936,23,88,0.13968253968254,0.000487329434697856,3,1,3,2,4,38,1,1,"HNB"
"75","ec:2.6.1.19","gene","rn:R01648",249,390,"rectangle",46,17,"#BFFFBF","mtv:RVBD_2589",4321,"reversible","mtv","00650",1,1,0.00384890798424633,3,0,0,0.000357270453733476,4,0,2,2,4,5,2.99829810436171e-17,0,"NHB"
"76","ec:4.1.1.15","gene","rn:R00261",148,401,"rectangle",46,17,"#BFFFBF","mtv:RVBD_3432c",4322,"irreversible","mtv","00650",0,1,0,0,0,0,0.000302480338777979,10,0,3,2,4,1,0,3.08369107007549e-18,"NHNB"
"82","ec:1.2.1.10","gene","rn:R01172",604,318,"rectangle",46,17,"#BFFFBF","mtv:RVBD_3535c",4328,"irreversible","mtv","00650",0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"NHNB"
"85","ec:1.2.1.16","gene","rn:R00713 rn:R00714",299,281,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0234c / mtv:RVBD_1731",4330,"irreversible","mtv","00650",0,1,0.012531328320802,7,0,0,0.00035778175313059,4,0,2,2,4,18,7.18787207240886e-17,0,"NHNB"
"92","ec:1.3.5.1","gene","rn:R02164",384,214,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0247c / mtv:RVBD_0248c / mtv:RVBD_3316 / mtv:RVBD_3317 / mtv:RVBD_3318 / mtv:RVBD_3319",4337,"reversible","mtv","00650",0,1,8.95094880057286e-05,2,0,0,0.000357015351660121,4,0,3,2,4,4,0,5.51780882197605e-18,"NHNB"
"162","ec:2.2.1.6","gene","rn:R00226",942,142,"rectangle",46,17,"#BFFFBF","mtv:RVBD_1820 / mtv:RVBD_3002c / mtv:RVBD_3003c / mtv:RVBD_3470c / mtv:RVBD_3509c",4350,"irreversible","mtv","00650",0,1,0,2,0,0,0.000781860828772478,5,1.11153287323613e-16,4,2,4,2,1.49600259142227e-17,8.50450073329156e-18,"NHNB"
"168","ec:1.2.1.79","gene","rn:R00714",273,300,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0234c / mtv:RVBD_1731",4353,"irreversible","mtv","00650",0,1,0.012531328320802,7,0,0,0.00035778175313059,4,0,2,2,4,18,7.18787207240886e-17,0,"NHNB"
"182","ec:1.3.5.4","gene","rn:R02164",384,235,"rectangle",46,17,"#BFFFBF","mtv:RVBD_0247c / mtv:RVBD_0248c / mtv:RVBD_1552 / mtv:RVBD_1553 / mtv:RVBD_1554 / mtv:RVBD_1555 / mtv:RVBD_3316 / mtv:RVBD_3317 / mtv:RVBD_3318 / mtv:RVBD_3319",4356,"reversible","mtv","00650",0,1,8.95094880057286e-05,2,0,0,0.000357015351660121,4,0,3,2,4,4,0,5.51780882197605e-18,"NHNB"
"183","ec:1.2.7.11","gene","rn:R01196",1084,393,"rectangle",46,17,"#BFFFBF","mtv:RVBD_2454c / mtv:RVBD_2455c",4357,"irreversible","mtv","00650",0,1,0.0274122807017544,10,0,0,0.000736377025036819,1,5.15681753902146e-16,3,2,4,15,0,0.0651933563730481,"NHNB"
