"","X","entryID","name","type","link","component","reaction","map","x","y","graphicalType","width","height","fgcolor","bgcolor","freq","pathway"
"224","entry1",38,"hav:AT03_02870","gene","http://www.kegg.jp/dbget-bin/www_bget?hav:AT03_02870",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"292","entry1",38,"opo:DSM2777_00145","gene","http://www.kegg.jp/dbget-bin/www_bget?opo:DSM2777_00145",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"327","entry1",42,"pmua:114585313 / pmua:114598470 / pmua:114602743 / pmua:114606883 / pmua:114606885 / pmua:114608072","gene","http://www.kegg.jp/dbget-bin/www_bget?pmua:114585313+pmua:114598470+pmua:114602743+pmua:114606883+pmua:114606885+pmua:114608072",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"418","entry1",38,"kin:AB182_11770","gene","http://www.kegg.jp/dbget-bin/www_bget?kin:AB182_11770",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"614","entry1",38,"gja:107106980 / gja:107111228 / gja:107112148 / gja:107112391 / gja:107116599 / gja:107118664","gene","http://www.kegg.jp/dbget-bin/www_bget?gja:107106980+gja:107111228+gja:107112148+gja:107112391+gja:107116599+gja:107118664",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"879","entry1",38,"xla:108707197 / xla:108713458 / xla:379229 / xla:414586 / xla:443767 / xla:446857 / xla:447522 / xla:496316 / xla:734715","gene","http://www.kegg.jp/dbget-bin/www_bget?xla:108707197+xla:108713458+xla:379229+xla:414586+xla:443767+xla:446857+xla:447522+xla:496316+xla:734715",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1135","entry1",38,"xtr:100498540 / xtr:448267 / xtr:448752 / xtr:549131 / xtr:549291 / xtr:733905","gene","http://www.kegg.jp/dbget-bin/www_bget?xtr:100498540+xtr:448267+xtr:448752+xtr:549131+xtr:549291+xtr:733905",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1336","entry1",38,"msu:MS2132","gene","http://www.kegg.jp/dbget-bin/www_bget?msu:MS2132",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1408","entry1",38,"npr:108788543 / npr:108791076 / npr:108798628 / npr:108799792 / npr:108799809 / npr:108801638","gene","http://www.kegg.jp/dbget-bin/www_bget?npr:108788543+npr:108791076+npr:108798628+npr:108799792+npr:108799809+npr:108801638",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
"1678","entry1",38,"dre:100000026 / dre:100005587 / dre:100536795 / dre:323653 / dre:334197 / dre:368239 / dre:393462 / dre:399481 / dre:447920 / dre:492710","gene","http://www.kegg.jp/dbget-bin/www_bget?dre:100000026+dre:100005587+dre:100536795+dre:323653+dre:334197+dre:368239+dre:393462+dre:399481+dre:447920+dre:492710",NA,"rn:R00710",NA,284,948,"rectangle",46,17,"#000000","#BFFFBF",1,10
